player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,opp,fg_miss,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Justin Tucker,K,BAL,1,2.3,2.6,0,0,0.6,0.6,0.7,0.7,0.5,0.6,0.4,0.4,2.6,2.7,9.5,9.5,1985374,CBS,10976,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,1,2.2,2.6,0,0,0.6,0.6,0.7,0.8,0.5,0.7,0.4,0.4,2.9,3.1,9.5,9.5,2078888,CBS,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,LV,1,2.3,2.6,0,0,0.7,0.7,0.7,0.7,0.5,0.7,0.4,0.4,2.5,2.6,9.4,9.4,2079862,CBS,13718,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brett Maher,K,DAL,1,2,2.3,0,0,0.6,0.6,0.5,0.6,0.5,0.6,0.3,0.3,2.8,2.9,8.8,8.8,1630817,CBS,13909,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,1,1.8,2.1,0,0,0.5,0.5,0.5,0.6,0.6,0.7,0.1,0.1,2.9,2.9,8.3,8.3,2961997,CBS,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cade York,K,CLE,1,1.7,2.2,0,0,0.4,0.4,0.6,0.8,0.4,0.5,0.3,0.3,2.7,2.9,7.8,7.8,3121034,CBS,15882,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Succop,K,TB,1,1.8,2.1,0,0,0.6,0.6,0.5,0.5,0.6,0.7,0.1,0.1,2.2,2.3,7.6,7.6,1674148,CBS,9686,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,ATL,1,1.7,1.9,0,0,0.4,0.4,0.4,0.4,0.6,0.6,0.3,0.3,2.4,2.6,7.5,7.5,2820093,CBS,13403,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,1,1.6,1.9,0,0,0.3,0.4,0.4,0.4,0.5,0.8,0.3,0.3,2.6,2.8,7.4,7.4,2962681,CBS,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graham Gano,K,NYG,1,1.8,2,0,0,0.4,0.4,0.6,0.7,0.5,0.6,0.3,0.3,2,2.2,7.4,7.4,558839,CBS,9694,NA,NA,NA,NA,NA,NA,NA,NA,NA
