team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,src_id,player,pos,opp,bye,curr_site_pts,draft_rank,idp_solo,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds
SF,1.1,0.1,3.8,39.5,0.9,1.2,0.2,16.3,16.3,0,100,256,256,15.2,15.2,CBS,0530,1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,1.4,0,2.9,41.3,0.9,1.2,0.2,16.4,16.4,0,96,281,281,14.7,14.7,CBS,0529,1917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIA,1.2,0,2.2,39.3,0.9,1.2,0.2,19.1,19.1,0,123,299,299,13.6,13.6,CBS,0503,1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TEN,1.1,0,2.7,38.8,0.7,1,0.2,17.5,17.5,0,99,291,291,13.5,13.5,CBS,0508,1928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,1.1,0,2.1,39,0.9,1.2,0.2,18.7,18.7,0,84,290,290,13.3,13.3,CBS,0502,1912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLE,1.1,0,2.6,40.8,0.5,0.7,0.2,19.9,19.9,0,108,286,286,13,13,CBS,0507,1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEN,0.8,0.1,3.4,36.3,0.5,0.6,0.1,15.4,15.4,0,117,275,275,12.8,12.8,CBS,0511,1909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WAS,0.9,0,2.1,39.7,0.8,1.2,0.2,20,20,0,87,329,329,10.7,10.7,CBS,0520,1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIN,1,0,2.1,44,0.7,0.9,0.2,19.3,19.3,0,94,309,309,10.7,10.7,CBS,0506,1907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAL,0.9,0,2.5,37.8,0.5,0.7,0.2,17.9,17.9,0,89,304,304,10.5,10.5,CBS,0531,1903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAC,1.2,0,2.5,42,0.9,1.3,0.3,24.4,24.4,0,100,364,364,10.5,10.5,CBS,0514,1924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JAC,0.7,0,2.8,42.7,0.6,0.8,0.1,22,22,0,112,298,298,10,10,CBS,0509,1913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAR,0.9,0,3,40.7,0.7,1,0.2,21.7,21.7,0,129,327,327,9.4,9.4,CBS,0527,1905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIT,0.9,0,3.1,40,0.6,0.8,0.2,25.7,25.7,0,102,340,340,9.3,9.3,CBS,0510,1922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NE,1.1,0,2.2,46.5,0.8,1.2,0.2,22.8,22.8,0,125,358,358,9.2,9.2,CBS,0504,1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUF,1.3,0,2.2,42.1,0.6,0.8,0.2,22.5,22.5,0,102,331,331,9.2,9.2,CBS,0501,1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TB,0.7,0,2.3,46.8,1.1,1.5,0.2,24.6,24.6,0,120,354,354,9.1,9.1,CBS,0525,1927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHI,1,0,2.1,44,0.8,1.1,0.2,24.2,24.2,0,143,351,351,8.9,8.9,CBS,0521,1906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAR,1.2,0,2.1,43.9,0.5,0.7,0.2,23.4,23.4,0,114,344,344,8.7,8.7,CBS,0528,1923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARI,0.8,0,1.9,45.5,1,1.4,0.2,25.6,25.6,0,120,392,392,8.7,8.7,CBS,0519,1901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KC,1,0,2,45.1,0.7,1,0.2,22.4,22.4,0,126,359,359,8.6,8.6,CBS,0512,1914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYJ,0.8,0,2.5,46,0.6,0.8,0.2,26.4,26.4,0,141,379,379,8.5,8.5,CBS,0505,1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYG,1,0,1.9,45.9,0.7,0.9,0.2,24.8,24.8,0,144,331,331,8.5,8.5,CBS,0517,1918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAL,1.2,0,1.3,42.9,0.6,0.8,0.2,25.9,25.9,0,101,387,387,8.1,8.1,CBS,0516,1908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
