id,pos,fantasy_sharks_pts,number_fire_pts,fantasy_pros_pts,flea_flicker_pts,cbs_pts,nfl_pts,avg_type,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,pos_rank,tier,first_name,last_name,team,position,age,exp,season,week
501,DST,5.4,5.0600000000000005,5.7,5.7,NA,NA,average,5.703333333333333,0.4857331228840243,0.023333333333333428,5.15625,6.3475,-1.121666666666667,-0.9975000000000005,-1.665000000000001,175,157,196,23,14,Buffalo,Bills,BUF,DST,NA,50,2022,1
502,DST,6.5,6.0200000000000005,6.5,6.5,NA,NA,average,6.816666666666666,0.8132998626992795,0.22666666666666657,6.18875,8.012500000000001,-0.008333333333333748,0.034999999999999254,0,104,102,103,4,4,Indianapolis,Colts,IND,DST,NA,50,2022,1
503,DST,7.5,5.75,6.4,5.6,NA,NA,average,6.543333333333333,0.8716574250625453,0.03999999999999915,5.6575,7.65,-0.2816666666666672,-0.49625000000000075,-0.3625000000000007,118,125,130,7,5,Miami,Dolphins,MIA,DST,NA,50,2022,1
504,DST,5.6000000000000005,5.3100000000000005,6.1000000000000005,6.1000000000000005,NA,NA,average,6.135,0.6425573904329477,0.07499999999999929,5.393750000000001,6.967499999999999,-0.6900000000000004,-0.7599999999999998,-1.0450000000000017,154,144,164,18,10,New England,Patriots,NEP,DST,NA,50,2022,1
505,DST,4.5,6.140000000000001,6.300000000000001,6.1000000000000005,NA,NA,average,6.016666666666667,0.7527660105681359,0.17166666666666686,4.91875,6.4775,-0.8083333333333336,-1.2350000000000003,-1.535000000000001,161,168,185,20,12,New York,Jets,NYJ,DST,NA,50,2022,1
506,DST,6.9,6.05,6.2,6.2,NA,NA,average,6.193333333333333,0.44764569322921755,0.05833333333333357,5.6425,6.742500000000001,-0.6316666666666668,-0.5112500000000004,-1.2700000000000005,150,127,175,17,9,Cincinnati,Bengals,CIN,DST,NA,50,2022,1
507,DST,6.5,6.63,6.4,6.4,NA,NA,average,6.245,0.9412969775793397,0.018333333333333535,4.9,6.99375,-0.5800000000000001,-1.2537500000000001,-1.0187500000000007,145,170,163,14,8,Cleveland,Browns,CLE,DST,NA,50,2022,1
508,DST,6,6.73,6.7,6.5,NA,NA,average,6.361666666666666,0.551349858680191,0.01666666666666572,5.550000000000001,6.7787500000000005,-0.4633333333333338,-0.6037499999999998,-1.2337500000000006,131,134,172,10,7,Tennessee,Titans,TEN,DST,NA,50,2022,1
509,DST,3.5,5.47,5.800000000000001,5.4,NA,NA,average,5.468333333333334,1.0397627934614062,0.2400000000000002,3.97875,6.352500000000001,-1.3566666666666665,-2.1750000000000007,-1.6600000000000001,188,214,195,30,18,Jacksonville,Jaguars,JAC,DST,NA,50,2022,1
510,DST,6.4,6.08,5.9,5.9,NA,NA,average,6.546666666666667,0.8417759005024238,0.0033333333333338544,5.905000000000001,7.789999999999999,-0.2783333333333333,-0.24874999999999936,-0.22250000000000192,117,112,120,6,4,Pittsburgh,Steelers,PIT,DST,NA,50,2022,1
