player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,opp,fg_miss,xp_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,curr_site_pts,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Matt Gay,K,LAR,1,2.1,2.3,0,0,0.4,0.4,0.8,0.8,0.6,0.7,0.3,0.3,3.3,3.3,9.6,9.6,2870511,CBS,14244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,1,2.2,2.5,0,0,0.5,0.6,0.7,0.7,0.5,0.7,0.4,0.4,2.3,2.5,8.9,8.9,2962681,CBS,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,1,1.9,2.3,0,0,0.7,0.7,0.5,0.6,0.5,0.6,0.2,0.2,3.2,3.3,8.9,8.9,2188356,CBS,14983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Ammendola,K,KC,1,1.8,2.2,0,0,0.6,0.6,0.7,0.7,0.4,0.7,0.1,0.1,3,3.2,8.4,8.4,2185684,CBS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,LV,1,2.1,2.3,0,0,0.7,0.7,0.6,0.6,0.5,0.6,0.3,0.3,2.1,2.3,8.4,8.4,2079862,CBS,13718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,1,1.8,2,0,0,0.5,0.5,0.6,0.6,0.5,0.7,0.2,0.2,2.8,2.9,8.2,8.2,2080295,CBS,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graham Gano,K,NYG,1,2,2.2,0,0,0.4,0.4,0.7,0.8,0.5,0.5,0.3,0.3,2.1,2.2,8.1,8.1,558839,CBS,9694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,DEN,1,1.8,2.2,0,0,0.5,0.5,0.5,0.5,0.6,0.6,0.3,0.3,2.6,2.7,8,8,2058320,CBS,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mason Crosby,K,GB,1,1.6,1.9,0,0,0.5,0.5,0.5,0.6,0.3,0.5,0.2,0.2,2.9,3,7.7,7.7,408969,CBS,8742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,ATL,1,1.8,2,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.3,2.3,2.4,7.7,7.7,2820093,CBS,13403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robbie Gould,K,SF,1,1.7,1.9,0,0,0.5,0.5,0.4,0.4,0.6,0.7,0.2,0.2,2.5,2.6,7.6,7.6,553121,CBS,8153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Tucker,K,BAL,1,1.7,1.9,0,0,0.5,0.5,0.4,0.5,0.6,0.7,0.3,0.3,2.5,2.5,7.6,7.6,1985374,CBS,10976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Succop,K,TB,1,1.7,2.1,0,0,0.6,0.6,0.5,0.6,0.5,0.7,0.1,0.1,2.4,2.5,7.5,7.5,1674148,CBS,9686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,1,1.9,2.2,0,0,0.5,0.5,0.5,0.6,0.6,0.7,0.3,0.3,1.8,2,7.5,7.5,1724930,CBS,11936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Seibert,K,DET,1,1.6,1.9,0,0,0.3,0.3,0.6,0.6,0.5,0.7,0.1,0.1,2.6,2.7,7.4,7.4,2179668,CBS,14258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Joseph,K,MIN,1,1.7,1.9,0,0,0.5,0.5,0.5,0.5,0.4,0.5,0.3,0.3,2.3,2.6,7.4,7.4,2926810,CBS,13898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cade York,K,CLE,1,1.5,1.8,0,0,0.4,0.4,0.5,0.5,0.4,0.5,0.2,0.2,2.7,2.8,7.2,7.2,3121034,CBS,15882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Prater,K,ARI,1,1.5,1.9,0,0,0.5,0.5,0.4,0.5,0.3,0.5,0.3,0.3,2.5,2.6,7,7,1109832,CBS,8930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
