season,week,id,pos,FantasySharks,NumberFire,FantasyPros,FleaFlicker,CBS,FFToday,NFL,FantasySharks_ERROR_LAG_1,NumberFire_ERROR_LAG_1,FantasyPros_ERROR_LAG_1,FleaFlicker_ERROR_LAG_1,CBS_ERROR_LAG_1,FFToday_ERROR_LAG_1,NFL_ERROR_LAG_1,avg_type,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,pos_rank,tier,first_name,last_name,team,position,age,exp
2022,1,501,DST,,,,,,,,,,,,,,,average,7.203333333333333,0.549787837867178,0.024999999999999467,6.7075000000000005,7.989999999999999,-0.19666666666666632,-0.04999999999999982,-0.5850000000000017,109,104,120,4,4,Buffalo,Bills,BUF,DST,NA,50
2022,1,502,DST,,,,,,,,,,,,,,,average,6.59,0.3497856486478541,0.19666666666666632,6.15625,6.9625,-0.8099999999999996,-0.6012500000000003,-1.6125000000000007,131,122,158,11,8,Indianapolis,Colts,IND,DST,NA,50
2022,1,503,DST,,,,,,,,,,,,,,,average,7.3999999999999995,0.9228651039019732,0.19666666666666632,6.675,8.75,0,-0.08250000000000046,0.17499999999999893,103,106,98,3,3,Miami,Dolphins,MIA,DST,NA,50
2022,1,504,DST,,,,,,,,,,,,,,,average,5.9783333333333335,0.2899080313938659,0.16000000000000014,5.58625,6.285,-1.421666666666666,-1.1712500000000006,-2.290000000000001,160,146,174,19,13,New England,Patriots,NEP,DST,NA,50
2022,1,505,DST,,,,,,,,,,,,,,,average,5.526666666666666,0.4381628312244966,0.10666666666666647,4.967499999999999,6.0325,-1.873333333333333,-1.790000000000001,-2.5425000000000013,178,173,189,25,17,New York,Jets,NYJ,DST,NA,50
2022,1,506,DST,,,,,,,,,,,,,,,average,6.39,0.6203627970792575,0.10666666666666647,5.4750000000000005,6.8725,-1.0099999999999998,-1.2824999999999998,-1.7025000000000015,137,149,161,13,9,Cincinnati,Bengals,CIN,DST,NA,50
2022,1,507,DST,,,,,,,,,,,,,,,average,6.6450000000000005,0.6656275234693951,0.0033333333333338544,6.00125,7.558750000000001,-0.754999999999999,-0.7562500000000005,-1.0162500000000003,127,129,138,9,6,Cleveland,Browns,CLE,DST,NA,50
2022,1,508,DST,,,,,,,,,,,,,,,average,6.121666666666667,0.38280107976162603,0.14333333333333353,5.702500000000001,6.6000000000000005,-1.2783333333333324,-1.0549999999999997,-1.9750000000000005,152,137,167,18,12,Tennessee,Titans,TEN,DST,NA,50
2022,1,509,DST,,,,,,,,,,,,,,,average,5.42,0.824232976772951,0.026666666666666394,4.2299999999999995,6.044999999999999,-1.9799999999999995,-2.5275000000000007,-2.530000000000002,181,190,188,26,17,Jacksonville,Jaguars,JAC,DST,NA,50
2022,1,510,DST,,,,,,,,,,,,,,,average,7.178333333333334,1.508169972737379,0.011666666666666714,5.6775,9.274999999999999,-0.2216666666666658,-1.08,0.6999999999999975,110,138,92,5,4,Pittsburgh,Steelers,PIT,DST,NA,50
2022,1,511,DST,,,,,,,,,,,,,,,average,6.641666666666667,0.7284687135812127,0.05166666666666675,5.8687499999999995,7.625000000000001,-0.7583333333333329,-0.8887500000000008,-0.9500000000000002,128,131,134,10,7,Denver,Broncos,DEN,DST,NA,50
2022,1,512,DST,,,,,,,,,,,,,,,average,5.818333333333333,0.23792155569991277,0.01499999999999968,5.6,6.08375,-1.581666666666666,-1.1575000000000006,-2.491250000000001,167,145,186,20,13,Kansas City,Chiefs,KCC,DST,NA,50
2022,1,513,DST,,,,,,,,,,,,,,,average,5.225,1.4994899132705093,0.054999999999999716,2.9750000000000005,6.26,-2.175,-3.7824999999999998,-2.3150000000000013,190,225,176,31,21,Las Vegas,Raiders,LVR,DST,NA,50
2022,1,514,DST,,,,,,,,,,,,,,,average,5.6466666666666665,0.8527524064267817,0.019999999999999574,4.95,6.867500000000001,-1.753333333333333,-1.8075,-1.7075000000000005,172,176,162,22,14,Los Angeles,Chargers,LAC,DST,NA,50
2022,1,515,DST,,,,,,,,,,,,,,,average,5.17,0.635979559419955,0,4.4750000000000005,5.97875,-2.2299999999999995,-2.2824999999999998,-2.5962500000000013,195,185,192,32,21,Seattle,Seahawks,SEA,DST,NA,50
2022,1,516,DST,,,,,,,,,,,,,,,average,7.1433333333333335,1.0185610765519497,0.14500000000000046,6.1075,8.575000000000001,-0.25666666666666593,-0.6500000000000004,0,112,126,103,7,5,Dallas,Cowboys,DAL,DST,NA,50
2022,1,517,DST,,,,,,,,,,,,,,,average,6.3933333333333335,0.5038121342987549,0.0033333333333338544,5.657500000000001,6.765000000000001,-1.006666666666666,-1.0999999999999996,-1.8100000000000005,136,140,164,12,8,New York,Giants,NYG,DST,NA,50
2022,1,518,DST,,,,,,,,,,,,,,,average,5.3933333333333335,0.9742261886577813,0.010000000000000675,4.125,6.47625,-2.006666666666666,-2.6325000000000003,-2.098750000000001,183,194,169,27,17,Philadelphia,Eagles,PHI,DST,NA,50
2022,1,519,DST,,,,,,,,,,,,,,,average,6.22,0.9952085208638437,0.07999999999999918,5.322500000000001,7.652499999999999,-1.1799999999999997,-1.4349999999999996,-0.9225000000000021,144,159,132,16,11,Arizona,Cardinals,ARI,DST,NA,50
2022,1,520,DST,,,,,,,,,,,,,,,average,5.803333333333334,0.2871004469983749,0.15666666666666718,5.430000000000001,6.0925,-1.5966666666666658,-1.3274999999999997,-2.482500000000001,168,153,185,21,14,Washington,Commanders,WAS,DST,NA,50
2022,1,521,DST,,,,,,,,,,,,,,,average,5.315,0.25007998720409436,0.09000000000000075,4.99875,5.59,-2.084999999999999,-1.75875,-2.985000000000001,188,171,204,30,20,Chicago,Bears,CHI,DST,NA,50
2022,1,522,DST,,,,,,,,,,,,,,,average,5.626666666666667,0.7278850641871056,0.04166666666666696,4.725,6.4625,-1.7733333333333325,-2.0325000000000006,-2.1125000000000007,173,181,170,23,15,Detroit,Lions,DET,DST,NA,50
2022,1,523,DST,,,,,,,,,,,,,,,average,7.8966666666666665,0.6511733000259355,0.20500000000000007,6.932499999999999,8.315000000000001,0.49666666666666703,0.17499999999999893,-0.2599999999999998,88,96,108,1,1,Green Bay,Packers,GBP,DST,NA,50
2022,1,524,DST,,,,,,,,,,,,,,,average,6.283333333333333,0.5508054708031382,0.05999999999999961,5.647500000000001,6.95,-1.1166666666666663,-1.1099999999999994,-1.6250000000000009,141,143,160,14,10,Minnesota,Vikings,MIN,DST,NA,50
2022,1,525,DST,,,,,,,,,,,,,,,average,6.998333333333333,0.3996581872884211,0.3533333333333326,6.470000000000001,7.42875,-0.4016666666666664,-0.28749999999999964,-1.146250000000001,116,110,142,8,6,Tampa Bay,Buccaneers,TBB,DST,NA,50
2022,1,526,DST,,,,,,,,,,,,,,,average,5.383333333333333,0.3913906829073306,0.0033333333333329662,4.82,5.695,-2.0166666666666666,-1.9375,-2.880000000000001,184,178,201,28,18,Atlanta,Falcons,ATL,DST,NA,50
2022,1,527,DST,,,,,,,,,,,,,,,average,6.223333333333334,0.7424666097991657,0.0033333333333338544,5.19125,6.9750000000000005,-1.1766666666666659,-1.5662500000000001,-1.6000000000000005,143,162,157,15,10,Carolina,Panthers,CAR,DST,NA,50
2022,1,528,DST,,,,,,,,,,,,,,,average,7.691666666666666,0.37854546182283894,0.29166666666666696,7.307500000000001,8.17,0.29166666666666696,0.5500000000000007,-0.40500000000000114,95,83,114,2,2,Los Angeles,Rams,LAR,DST,NA,50
2022,1,529,DST,,,,,,,,,,,,,,,average,5.38,0.47255687488386,0.0649999999999995,4.96125,6.0625,-2.0199999999999996,-1.7962500000000006,-2.512500000000001,185,175,187,29,19,New Orleans,Saints,NOS,DST,NA,50
2022,1,530,DST,,,,,,,,,,,,,,,average,7.166666666666667,0.46671904467963027,0.023333333333333428,6.7575,7.85,-0.2333333333333325,0,-0.7250000000000014,111,103,124,6,4,San Francisco,49ers,SFO,DST,NA,50
2022,1,531,DST,,,,,,,,,,,,,,,average,6.140000000000001,0.521104596026556,0.018333333333333535,5.4662500000000005,6.706250000000001,-1.259999999999999,-1.2912499999999998,-1.8687500000000004,150,150,166,17,11,Baltimore,Ravens,BAL,DST,NA,50
2022,1,532,DST,,,,,,,,,,,,,,,average,5.585,0.409878030638384,0.05833333333333357,5.141249999999999,6.1425,-1.8149999999999995,-1.6162500000000009,-2.432500000000001,176,167,180,24,16,Houston,Texans,HOU,DST,NA,50
2022,1,10862,K,,,,,,,,,,,,,,,average,7.049280464758172,0.959978688141341,0.12160520020790777,5.890000000000001,8.250630409929773,-1.5619484523887666,-1.6049999999999986,-1.3887983643121622,166,165,150,28,3,Randy,Bullock,TEN,K,33,8
2022,1,10868,K,,,,,,,,,,,,,,,average,5.752964357429718,0.8641350453154378,3.7529643574297182,4.70257906626506,6.752,-2.8582645597172203,-2.792420933734939,-2.8874287742419353,205,197,202,32,5,Greg,Zuerlein,NYJ,K,35,8
2022,1,10976,K,,,,,,,,,,,,,,,average,8.943190596812887,0.49582682575498266,0.10518636776011725,8.316313209494325,9.584914626137536,0.33196167966594814,0.8213132094943258,-0.05451414810439914,93,77,104,5,1,Justin,Tucker,BAL,K,33,8
2022,1,11387,K,,,,,,,,,,,,,,,average,7.144310684521615,1.2895049214090986,0.003608608819539505,5.884124075030115,9.059248150060231,-1.4669182326253232,-1.6108759249698839,-0.580180624181704,161,166,119,25,3,Dustin,Hopkins,LAC,K,32,7
2022,1,11936,K,,,,,,,,,,,,,,,average,8.83800422905277,1.6528870633049497,0.17671763999415901,7.494999999999999,11.352395691300789,0.2267753119058309,0,1.7129669170588535,96,103,76,6,1,Chris,Boswell,PIT,K,33,6
2022,1,11945,K,,,,,,,,,,,,,,,average,7.2803382891618185,0.8209318098720413,0.13602760464020314,6.2,8.328352492764257,-1.33089062798512,-1.294999999999999,-1.3110762814776784,156,151,149,24,3,Cairo,Santos,CHI,K,31,6
2022,1,11947,K,,,,,,,,,,,,,,,average,9.259958191609977,1.7346526858871356,0.09420383994982906,7.757059523809525,11.951026785714284,0.6487292744630384,0.26205952380952535,2.3115980114723484,81,95,66,1,1,Brandon,McManus,DEN,K,31,6
2022,1,12437,K,,,,,,,,,,,,,,,average,6.721499409681228,1.4664352006348054,0.9685350522515099,4.878,8.487878787878788,-1.8897295074657103,-2.616999999999999,-1.1515499863631469,180,193,143,31,4,Jason,Myers,SEA,K,31,6
2022,1,12860,K,,,,,,,,,,,,,,,average,7.531438289601555,0.9826378044851992,0.03727496317388468,6.401,8.752471655328797,-1.0797906275453837,-1.0939999999999994,-0.8869571189131378,140,139,129,20,2,Ka'imi,Fairbairn,HOU,K,28,4
2022,1,12956,K,,,,,,,,,,,,,,,average,8.233606893977104,1.8084214943167658,0.10018167675645806,6.890000000000001,11.0730531358885,-0.3776220231698346,-0.60499999999999865,1.4336243616465651,115,123,81,10,2,Wil,Lutz,NOS,K,28,4
2022,1,13303,K,,,,,,,,,,,,,,,average,7.930346119929453,1.3358506908688976,0.08673852225120626,6.119641534391534,9.348403880070546,-0.6808827972174853,-1.375358465608465,-0.29102489417138955,126,156,109,16,2,Jake,Elliott,PHI,K,27,3
2022,1,13403,K,,,,,,,,,,,,,,,average,8.66128658905861,0.8635264721547197,0.050057671911671875,7.767961323075312,9.870514994504632,0.050057671911671875,0.27296132307531273,0.23108622026269643,101,94,96,7,1,Younghoe,Koo,ATL,K,28,3
2022,1,13718,K,,,,,,,,,,,,,,,average,9.165754351660148,0.603762208925229,0.041321773793077554,8.252001073537306,9.728398416532475,0.5545254345132093,0.7570010735373067,0.0889696422905395,84,79,100,2,1,Daniel,Carlson,LVR,K,27,2
2022,1,13719,K,,,,,,,,,,,,,,,average,7.067597396781529,1.1240814753338009,0.018316932023356713,5.66,8.448374277086852,-1.5436315203654098,-1.834999999999999,-1.1910544971550827,165,177,145,27,3,Eddy,Pineiro,CAR,K,27,2
2022,1,13832,K,,,,,,,,,,,,,,,average,6.927675264550264,1.0527322547669018,0.09267526455026331,5.500790895061728,8.198854938271605,-1.6835536525966743,-1.994209104938271,-1.44057383597033,171,180,152,29,3,Jason,Sanders,MIA,K,27,2
2022,1,13898,K,,,,,,,,,,,,,,,average,8.351879864650778,0.84879558614583,0.11827297067367404,7.514686113789779,9.639428774241935,-0.2593490524961606,0.01968611378977947,0,113,102,103,9,1,Greg,Joseph,MIN,K,28,2
2022,1,13909,K,,,,,,,,,,,,,,,average,7.49416332642767,1.1290954141858947,0.13913617079140383,6.140000000000001,8.724660571668768,-1.1170655907192684,-1.3549999999999986,-0.9147682025731676,142,155,131,21,2,Brett,Maher,DAL,K,33,3
2022,1,14244,K,,,,,,,,,,,,,,,average,9.12443257786707,1.1720815543902912,0.08614956046216626,7.4257113797735554,10.431867203991557,0.5132036607201318,-0.06928862022644378,0.7924384297496214,86,105,88,3,1,Matt,Gay,LAR,K,28,1
2022,1,14258,K,,,,,,,,,,,,,,,average,8.081008561343506,1.1626327024039547,0.1203790583961224,6.39,9.286250613873541,-0.5302203558034329,-1.1049999999999995,-0.3531781603683939,121,141,112,13,2,Austin,Seibert,DET,K,26,1
2022,1,14600,K,,,,,,,,,,,,,,,average,7.355027155636266,0.9552403292734146,0.011075908470733253,6.350512594161959,8.643025188323918,-1.2562017615106722,-1.1444874058380403,-0.9964035859180171,149,144,137,22,2,Joey,Slye,WAS,K,26,1
2022,1,14912,K,,,,,,,,,,,,,,,average,1,NA,0,1,1,-7.6112289171469385,-6.494999999999999,-8.639428774241935,355,322,343,35,6,Rodrigo,Blankenship,FA,K,25,0
2022,1,14983,K,,,,,,,,,,,,,,,average,8.6112289171469385,0.9208439740877857,0.2593490524961606,7.221038106017732,9.30232786266742,0,-0.2739618939822668,-0.33710091157451494,103,109,111,8,1,Tyler,Bass,BUF,K,25,0
