player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rush_09_tds,rush_1019_tds,rush_2029_tds,rush_3039_tds,rush_4049_tds,rush_50_tds,rec_rz_tgt,rush_50_yds,rush_100_yds,return_yds,scoring_opp,bye,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,yahoo_site_points,yahoo_salary,yahoo_value,return_tds,two_pts
Derrick Henry,RB,TEN,1,26.7,125,4.7,0.7,2.2,1.7,15.2,15.2,8.9,0,0.3,16.6,16.6,2061188,CBS,12626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonathan Taylor,RB,IND,1,21.5,93.8,4.4,0.7,3.3,2.4,16,16,6.7,0.1,0.2,14.4,14.4,2866395,CBS,14802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Jacobs,RB,LV,1,17.4,82.8,4.8,0.9,2.9,2.4,18.7,18.7,7.8,0,0.2,14,14,2257876,CBS,14073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tony Pollard,RB,DAL,1,16.9,82.4,4.9,0.5,5.1,3.5,30,30,8.6,0,0.2,13.6,13.6,2184011,CBS,14085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saquon Barkley,RB,NYG,1,18.3,86.7,4.7,0.4,6,4.8,37.9,37.9,7.9,0.1,0.2,13.6,13.6,2185957,CBS,13604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Chubb,RB,CLE,1,18.4,103,5.6,0.6,1.4,1,8.1,8.1,8.1,0,0.2,13.2,13.2,2131579,CBS,13610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenneth Walker III,RB,SEA,1,15.5,89.5,5.8,0.6,3.1,2.4,17.7,17.7,7.4,0.1,0.2,12.8,12.8,3121372,CBS,15711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dalvin Cook,RB,MIN,1,18.2,81.9,4.5,0.7,3.4,2.5,18.5,18.5,7.4,0,0.2,12.8,12.8,2130893,CBS,13128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alvin Kamara,RB,NO,1,15.1,63.3,4.2,0.3,6.8,4.9,40.6,40.6,8.3,0.2,0.2,12.6,12.6,2082721,CBS,13132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christian McCaffrey,RB,SF,1,14.6,61.3,4.2,0.3,5.5,4.5,41.6,41.6,9.2,0.2,0.2,12.6,12.6,2136743,CBS,13130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dameon Pierce,RB,HOU,1,16,64.9,4.1,0.6,3.6,3,22.6,22.6,7.5,0.1,0.2,11.8,11.8,2964236,CBS,15717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joe Mixon,RB,CIN,1,16.7,61.4,3.7,0.5,4.3,3.5,24.2,24.2,6.9,0.1,0.2,11.2,11.2,2131143,CBS,13131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Travis Etienne,RB,JAC,1,14.9,78.3,5.3,0.3,4.3,2.9,25.4,25.4,8.8,0.1,0.2,11,11,2809206,CBS,15253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D'Onta Foreman,RB,CAR,1,17.7,85.2,4.8,0.4,1,0.9,11.3,11.3,12.6,0,0.2,11,11,2139847,CBS,13134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D'Andre Swift,RB,DET,1,9.2,50.4,5.5,0.3,5.1,3.9,33.7,33.7,8.6,0.2,0.1,10.8,10.8,2871710,CBS,14797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gus Edwards,RB,BAL,1,13.4,66.9,5,0.6,2.3,1.1,14.4,14.4,13.1,0,0.1,10.4,10.4,2925410,CBS,13850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leonard Fournette,RB,TB,1,13,47.3,3.6,0.4,5.3,4.5,31.5,31.5,7,0.2,0.2,10.2,10.2,2131693,CBS,13129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
