player,pos,team,games,pass_att,pass_comp,pass_yds,pass_yds_g,pass_tds,pass_int,pass_rate,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,pass_09_tds,pass_1019_tds,pass_2029_tds,pass_3039_tds,pass_4049_tds,pass_50_tds,sacks,scoring_opp,bye,curr_site_pts,draft_rank,pass_comp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,yahoo_site_points,two_pts
Tua Tagovailoa,QB,MIA,1,35.6,26.4,309,309,2.1,0.7,111.5,3,6.2,2.1,0.1,0.2,24,24,2741209,CBS,14778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patrick Mahomes,QB,KC,1,37.3,25.5,263,263,2,0.7,98.5,4.3,24.6,5.7,0.1,0.2,22.2,22.2,2142052,CBS,13116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jared Goff,QB,DET,1,34.5,24.5,270,270,2.1,0.5,108.1,1.9,2.5,1.3,0.1,0.1,22,22,2061053,CBS,12611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C.J. Stroud,QB,HOU,1,36.1,24,277,277,2,0.5,102.2,2.3,9.4,4.1,0.1,0.3,22,22,3163079,CBS,16150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dak Prescott,QB,DAL,1,35.2,24.1,240,240,1.9,0.9,94.9,3.2,11.9,3.7,0.2,0.1,20.6,20.6,1824864,CBS,12620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Herbert,QB,LAC,1,38.2,25.8,255,255,1.5,0.8,90.5,3.7,12.2,3.3,0.2,0,19.6,19.6,2221960,CBS,14779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sam Howell,QB,WAS,1,35.3,22.2,249,249,1.8,1.4,84.4,3.5,24.3,6.9,0.1,0.1,19.4,19.4,3123797,CBS,15693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Allen,QB,BUF,1,34.6,22.1,217,217,1.7,1.1,84.6,4.7,26,5.5,0.3,0.2,19.4,19.4,2181054,CBS,13589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lamar Jackson,QB,BAL,1,29.2,19,223,223,1.5,1.1,89.6,7.8,46.6,6,0.2,0.4,19.2,19.2,2181169,CBS,13593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Hurts,QB,PHI,1,31.5,20.2,210,210,1.3,1,83.8,8.8,37.4,4.3,0.4,0.2,19,19,2240246,CBS,14783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
