player,dst_sacks,dst_int,dst_fum_rec,dst_fum_force,dst_td,dst_safety,dst_pts_allowed,dst_yds_allowed,site_pts,src_id,data_src,pos,id,team,opp,bye,draft_rank,idp_solo,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,return_tds,dst_int_tds,dst_ret_tds,dst_tackle
Washington Commanders,2.7,0.9,0.6,0.8,0.2,0,17.4,318.1,7.7,8310,FantasyPros,DST,0520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baltimore Ravens,2.6,0.9,0.6,0.8,0.2,0,17.6,315.4,7.6,8020,FantasyPros,DST,0531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seattle Seahawks,2.7,0.8,0.5,0.8,0.2,0,19.6,361.4,7.4,8260,FantasyPros,DST,0515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green Bay Packers,3.3,0.9,0.6,0.7,0.2,0,21.1,329.3,7.3,8110,FantasyPros,DST,0523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Francisco 49ers,2.5,0.9,0.5,0.8,0.2,0,18.9,316.7,7.2,8270,FantasyPros,DST,0530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlanta Falcons,2.5,0.8,0.5,0.8,0.2,0,19,337.5,7.2,8010,FantasyPros,DST,0526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota Vikings,3.1,0.9,0.6,0.7,0.2,0,20.5,335.4,7.1,8170,FantasyPros,DST,0524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Orleans Saints,2.4,0.8,0.5,0.7,0.2,0,19,337.8,6.9,8190,FantasyPros,DST,0529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philadelphia Eagles,2.8,0.9,0.6,0.9,0.2,0,20.7,322.4,6.6,8230,FantasyPros,DST,0518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cincinnati Bengals,2.9,0.7,0.6,0.8,0.2,0,21.8,358.4,6.5,8060,FantasyPros,DST,0506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
