player,team,fg,fg_att,xp,site_pts,src_id,data_src,pos,id,opp,xp_att,fg_0019,fg_2029,fg_3039,fg_4049,fg_50,fg_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points,fg_att_50,fg_att_4049
Justin Tucker,BAL,1.7,2,3,8.3,11465,FantasyPros,K,10976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,SEA,1.9,2.4,2.4,8.2,14003,FantasyPros,K,12437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,KC,1.5,1.8,3.4,7.7,16712,FantasyPros,K,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Joseph,MIN,1.7,2.2,2.5,7.7,17647,FantasyPros,K,13898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,ATL,1.7,2.1,2.5,7.7,16910,FantasyPros,K,13403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,JAC,1.7,2.1,2.6,7.6,13274,FantasyPros,K,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,LAC,1.8,2.3,2.2,7.4,23901,FantasyPros,K,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,CHI,1.7,2.1,2.2,7.3,13731,FantasyPros,K,11945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,LV,1.7,2,2.3,7.3,17420,FantasyPros,K,13718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,BUF,1.6,2.1,2.4,7.3,19760,FantasyPros,K,14983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,DEN,1.6,2.2,2.4,7.3,16026,FantasyPros,K,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brett Maher,LAR,1.7,1.9,2.2,7.3,12378,FantasyPros,K,13909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,CIN,1.6,1.9,2.3,7.2,23297,FantasyPros,K,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riley Patterson,DET,1.6,1.9,2.4,7.2,23370,FantasyPros,K,15369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Sanders,MIA,1.6,1.9,2.5,7.2,17533,FantasyPros,K,13832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graham Gano,NYG,1.7,2,2.2,7.2,9232,FantasyPros,K,9694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dustin Hopkins,CLE,1.6,2,2.1,7,11818,FantasyPros,K,11387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,CAR,1.7,2,2,7,17575,FantasyPros,K,13719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,PHI,1.7,2,2,7,16540,FantasyPros,K,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,TB,1.6,1.9,2.2,7,19058,FantasyPros,K,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Zuerlein,NYJ,1.6,2.2,2,6.9,11345,FantasyPros,K,10868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,WAS,1.7,1.9,1.9,6.9,19028,FantasyPros,K,14600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,DAL,1.5,1.9,2.3,6.8,26068,FantasyPros,K,16414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,IND,1.6,1.9,2,6.8,18545,FantasyPros,K,14244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,PIT,1.6,2,2.1,6.8,13029,FantasyPros,K,11936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,TEN,1.6,2.1,1.8,6.7,9491,FantasyPros,K,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,HOU,1.6,1.8,1.7,6.5,15756,FantasyPros,K,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Moody,SF,1.5,1.9,1.9,6.5,24009,FantasyPros,K,16286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anders Carlson,GB,1.5,1.9,1.9,6.4,25465,FantasyPros,K,16339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blake Grupe,NO,1.5,2,1.9,6.4,25533,FantasyPros,K,16444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad Ryland,NE,1.5,1.9,1.6,6.2,25354,FantasyPros,K,16292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Prater,ARI,1.5,1.8,1.5,6.1,9443,FantasyPros,K,8930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zane Gonzalez,SF,0.8,0.9,1.1,3.4,16548,FantasyPros,K,13347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlson, Daniel",LVR,2.5,2.7,2.3,10.6,NA,FantasySharks,K,13718,@DEN,2.4,0,0.7,0.8,0.4,0.6,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McPherson, Evan",CIN,2,2.2,2.6,9.3,NA,FantasySharks,K,15368,@CLE,2.7,0,0.5,0.6,0.5,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Butker, Harrison",KCC,1.8,2.1,3.6,9.3,NA,FantasySharks,K,13354,DET,3.8,0,0.4,0.5,0.5,0.4,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aubrey, Brandon",DAL,1.8,2,3.3,9.1,NA,FantasySharks,K,16414,@NYG,3.5,0,0.5,0.6,0.4,0.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tucker, Justin",BAL,2.2,2.5,1.8,9.1,NA,FantasySharks,K,10976,HOU,1.8,0,0.8,0.6,0.4,0.4,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dicker, Cameron",LAC,2,2,2.5,8.8,NA,FantasySharks,K,15979,MIA,2.5,0,0.7,0.6,0.6,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Patterson, Riley",DET,2,2.3,2.6,8.8,NA,FantasySharks,K,15369,@KCC,2.7,0,0.4,0.6,0.8,0.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joseph, Greg",MIN,1.9,2.2,2.6,8.8,NA,FantasySharks,K,13898,TBB,2.9,0,0.6,0.5,0.5,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
