player,team,pass_att,pass_comp,pass_yds,pass_tds,pass_int,rush_att,rush_yds,rush_tds,fumbles_lost,site_pts,src_id,data_src,pos,id,opp,pass_09_tds,pass_1019_tds,pass_2029_tds,pass_3039_tds,pass_4049_tds,pass_50_tds,sacks,scoring_opp,bye,draft_rank,pass_comp_pct,pass_rate,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,two_pts
Patrick Mahomes II,KC,37.4,24.7,312.4,2.4,0.7,3.7,20.8,0.2,0.2,24.5,16413,FantasyPros,QB,13116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lamar Jackson,BAL,29.3,18.6,211.8,1.6,0.7,10.1,62,0.4,0.2,22.7,17233,FantasyPros,QB,13593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Hurts,PHI,30.9,20,235.9,1.4,0.7,9.7,49,0.6,0.2,22.3,19275,FantasyPros,QB,14783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Allen,BUF,36.7,23.3,259.7,1.6,0.8,7.2,38.6,0.4,0.2,21.7,17298,FantasyPros,QB,13589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joe Burrow,CIN,37.9,25.3,275.9,1.9,0.8,3.9,13,0.2,0.1,20,19196,FantasyPros,QB,14777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geno Smith,SEA,33,22.4,254.5,2,0.7,3.6,19.5,0.1,0.2,19.8,11687,FantasyPros,QB,11150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Fields,CHI,26.3,16.5,180.6,1.2,0.7,10.2,62.5,0.4,0.2,19.6,19781,FantasyPros,QB,15238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deshaun Watson,CLE,30.3,19.5,243.2,1.6,0.7,6.5,29,0.2,0.1,19.4,16398,FantasyPros,QB,13113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Herbert,LAC,37.8,25.4,279.1,1.8,0.8,3.8,10,0.1,0.1,18.9,18635,FantasyPros,QB,14779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dak Prescott,DAL,33.8,22,257.4,1.8,0.8,3.6,15,0.2,0.2,19,15600,FantasyPros,QB,12620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trevor Lawrence,JAC,34.9,23.1,257.1,1.7,0.7,3.8,16,0.2,0.2,19,19780,FantasyPros,QB,15237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Jones,NYG,33.6,21.9,224.8,1.3,0.8,6.8,39.5,0.3,0.2,18.7,18232,FantasyPros,QB,14059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kirk Cousins,MIN,35.2,23.2,270.4,1.9,0.8,1.7,4,0.1,0.2,18.4,11177,FantasyPros,QB,10700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Russell Wilson,DEN,31.5,20.2,237.8,1.7,0.6,3.9,18,0.2,0.1,18.4,11180,FantasyPros,QB,10703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tua Tagovailoa,MIA,35.8,23.4,272.4,1.8,0.8,2.4,8.8,0.1,0.2,18.2,19198,FantasyPros,QB,14778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthony Richardson,IND,29.1,18.1,212.1,1.3,0.9,8.8,37.5,0.3,0.2,18.1,24347,FantasyPros,QB,16152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jared Goff,DET,36.6,24,266.6,1.7,0.8,1.8,4,0.1,0.2,17.1,15501,FantasyPros,QB,12611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matthew Stafford,LAR,34.9,23.2,267.6,1.5,0.8,1.8,3,0.1,0.2,16.5,9451,FantasyPros,QB,9431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derek Carr,NO,32,21.2,250.9,1.6,0.7,2.1,4,0.1,0.1,16.1,12092,FantasyPros,QB,11644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
