player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rush_09_tds,rush_1019_tds,rush_2029_tds,rush_3039_tds,rush_4049_tds,rush_50_tds,rec_rz_tgt,rush_50_yds,rush_100_yds,return_yds,scoring_opp,bye,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points,return_tds,two_pts
Derrick Henry,RB,TEN,1,18.9,96.2,5.1,0.7,2.2,1.7,25.1,25.1,14.8,0,0.1,15,15,2061188,CBS,12626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christian McCaffrey,RB,SF,1,16.3,81.6,5,0.5,5.8,4.6,39.7,39.7,8.6,0.2,0.1,15,15,2136743,CBS,13130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tony Pollard,RB,DAL,1,16.2,73.9,4.6,0.6,4.2,3.2,25.5,25.5,8,0.1,0.1,13,13,2184011,CBS,14085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bijan Robinson,RB,ATL,1,12.5,70.4,5.6,0.4,3.8,2.9,25.8,25.8,8.9,0.3,0.2,12.8,12.8,3168163,CBS,16161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saquon Barkley,RB,NYG,1,15.6,73.8,4.7,0.4,4.7,3.5,20.4,20.4,5.8,0.1,0.1,11.8,11.8,2185957,CBS,13604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Chubb,RB,CLE,1,16.6,85.9,5.2,0.4,2.1,1.8,14.6,14.6,8.1,0.1,0.1,11.8,11.8,2131579,CBS,13610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Ekeler,RB,LAC,1,11.3,37.4,3.3,0.5,6.3,5,42.1,42.1,8.4,0.3,0.1,11.6,11.6,2820090,CBS,13404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Travis Etienne,RB,JAC,1,14.4,74.5,5.2,0.4,3.6,3.1,22.1,22.1,7.1,0,0.1,11.2,11.2,2809206,CBS,15253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joe Mixon,RB,CIN,1,15.5,51.8,3.3,0.6,4.3,3.5,24.1,24.1,6.9,0.1,0.1,11,11,2131143,CBS,13131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenneth Gainwell,RB,PHI,1,13.3,57.9,4.4,0.6,3.7,2.9,22.2,22.2,7.7,0.1,0.1,11,11,2968948,CBS,15255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Montgomery,RB,DET,1,15.6,63.8,4.1,0.7,1.5,1.3,11.1,11.1,8.5,0,0.1,11,11,2261252,CBS,14071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Jacobs,RB,LV,1,17.2,72.3,4.2,0.5,2.7,2.2,16.3,16.3,7.4,0,0.1,10.8,10.8,2257876,CBS,14073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Jones,RB,GB,1,10.5,54.5,5.2,0.2,4.1,3.2,32.2,32.2,10.1,0.3,0.1,10.8,10.8,2071937,CBS,13319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brian Robinson Jr.,RB,WAS,1,17.8,61.1,3.4,0.4,1.4,0.9,5.4,5.4,6,0.4,0.1,10.6,10.6,2741207,CBS,15716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alexander Mattison,RB,MIN,1,15.6,56.6,3.6,0.5,3.6,2.9,16.1,16.1,5.6,0.3,0.1,10.6,10.6,2257933,CBS,14223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Conner,RB,ARI,1,14.4,63.3,4.4,0.5,3.4,3,18.4,18.4,6.1,0.1,0.1,10.4,10.4,2071585,CBS,13146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenneth Walker III,RB,SEA,1,13.6,65.2,4.8,0.6,2.7,2.1,10,10,4.8,0,0.1,10.4,10.4,3121372,CBS,15711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Allgeier,RB,ATL,1,13.8,70.7,5.1,0.5,0.8,0.7,5.9,5.9,8.4,0,0.1,9.8,9.8,2975590,CBS,15712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dameon Pierce,RB,HOU,1,15.6,64.9,4.2,0.5,2.5,1.8,9.5,9.5,5.3,0.1,0.1,9.4,9.4,2964236,CBS,15717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jahmyr Gibbs,RB,DET,1,9.3,43.8,4.7,0.4,3.7,2.9,29.8,29.8,10.3,0.2,0.2,9.2,9.2,3162723,CBS,16162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rachaad White,RB,TB,1,13.9,51.3,3.7,0.3,4,3.5,22.4,22.4,6.4,0.1,0.2,9,9,3169147,CBS,15721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Najee Harris,RB,PIT,1,13,54.8,4.2,0.4,2.4,1.9,12,12,6.3,0.1,0.1,8.8,8.8,2741200,CBS,15254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miles Sanders,RB,CAR,1,15,68.9,4.6,0.3,2.9,2.2,12.2,12.2,5.6,0,0.2,8.4,8.4,2251305,CBS,14079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Cook,RB,BUF,1,11.1,55,5,0.3,2.4,1.5,12.6,12.6,8.4,0.1,0.1,8.2,8.2,2975698,CBS,15715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jamaal Williams,RB,NO,1,16.4,57.9,3.5,0.5,1.4,1.2,7,7,5.8,0,0.1,7.8,7.8,2001287,CBS,13139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isiah Pacheco,RB,KC,1,10.7,46.3,4.3,0.3,2.7,2.6,23.3,23.3,9,0,0.1,7.6,7.6,2966551,CBS,15749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhamondre Stevenson,RB,NE,1,11.4,46.7,4.1,0.3,3.8,3.1,23.8,23.8,7.7,0,0.1,7.6,7.6,3125832,CBS,15259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Khalil Herbert,RB,CHI,1,12.2,58.4,4.8,0.2,1.8,1.3,12.1,12.1,9.3,0,0.1,7,7,2253041,CBS,15271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Damien Harris,RB,BUF,1,8.4,41.5,4.9,0.5,1.5,1.2,8.3,8.3,6.9,0,0.1,6.8,6.8,2186318,CBS,14075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Javonte Williams,RB,DEN,1,11.6,49.4,4.3,0.2,3.5,2.6,16.2,16.2,6.2,0.1,0.1,6.6,6.6,2961719,CBS,15256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Dillon,RB,GB,1,11.2,44.6,4,0.3,2.3,1.8,14.2,14.2,7.9,0,0.1,6.6,6.6,2867083,CBS,14805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gus Edwards,RB,BAL,1,10.4,50.2,4.8,0.2,1.2,0.4,4.7,4.7,11.8,0,0.1,6,6,2925410,CBS,13850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
