player,team,rec,rec_yds,rec_tds,rush_att,rush_yds,rush_tds,fumbles_lost,site_pts,src_id,data_src,pos,id,opp,rec_tgt,rec_rz_tgt,rec_09_tds,rec_1019_tds,rec_2029_tds,rec_3039_tds,rec_4049_tds,rec_50_tds,return_yds,scoring_opp,bye,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds
Tyreek Hill,MIA,7.5,114.2,0.8,0.2,1.3,0,0,16.1,15802,FantasyPros,WR,12801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cooper Kupp,LAR,7.3,96.1,0.5,0.1,0.8,0,0.1,12.8,16433,FantasyPros,WR,13164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stefon Diggs,BUF,7.3,89.7,0.5,0,0.1,0,0,12.2,13981,FantasyPros,WR,12186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Brown,PHI,6,90.7,0.5,0,0,0,0,11.9,18218,FantasyPros,WR,14104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keenan Allen,LAC,7.3,84.6,0.4,0,0.4,0,0,11,11616,FantasyPros,WR,11222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aiyuk,SF,5.4,79.6,0.5,0,0,0,0,10.9,19252,FantasyPros,WR,14840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davante Adams,LV,5.8,78.6,0.5,0,0,0,0,10.8,12123,FantasyPros,WR,11675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amon-Ra St. Brown,DET,7.2,81.3,0.4,0.2,1.1,0,0,10.7,19799,FantasyPros,WR,15287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Evans,TB,5.2,70.7,0.5,0,0,0,0,9.9,12119,FantasyPros,WR,11671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaylen Waddle,MIA,5.2,70.9,0.4,0.1,0.8,0,0,9.7,19790,FantasyPros,WR,15284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
