id,src_id,pos,player,team,dst_int,dst_fum_recvr,dst_sacks,dst_fumbles,dst_tackles,dst_td,dst_yds_against,dst_pts_against,data_src,dst_fum_rec,dst_fum_force,dst_safety,dst_pts_allowed,dst_yds_allowed,site_pts,bye,opp,draft_rank,idp_solo,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,yahoo_site_points,return_tds
0529,-16018,DST,Saints D/ST,NO,1,0,2,1,62,0,334,334,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0507,-16005,DST,Browns D/ST,CLE,1,1,3,1,59,0,331,331,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0530,-16025,DST,49ers D/ST,SF,1,0,3,1,60,0,303,303,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0522,-16008,DST,Lions D/ST,DET,1,0,2,1,59,0,354,354,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0509,-16030,DST,Jaguars D/ST,JAC,1,1,3,1,59,0,308,308,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0526,-16001,DST,Falcons D/ST,ATL,1,0,2,1,57,0,300,300,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0516,-16006,DST,Cowboys D/ST,DAL,1,1,3,1,64,0,354,354,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0532,-16034,DST,Texans D/ST,HOU,1,0,3,1,65,0,331,331,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0531,-16033,DST,Ravens D/ST,BAL,1,0,3,1,62,0,297,297,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0512,-16012,DST,Chiefs D/ST,KCC,1,0,3,1,56,0,309,309,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0502,-16011,DST,Colts D/ST,IND,1,1,3,1,65,0,345,345,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0501,-16002,DST,Bills D/ST,BUF,1,1,2,1,62,0,339,339,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0524,-16016,DST,Vikings D/ST,MIN,1,1,2,1,62,0,333,333,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0518,-16021,DST,Eagles D/ST,PHI,1,1,5,1,59,0,310,310,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0528,-16014,DST,Rams D/ST,LAR,1,0,2,1,63,0,363,363,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0510,-16023,DST,Steelers D/ST,PIT,1,1,2,1,60,0,350,350,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0504,-16017,DST,Patriots D/ST,NE,1,0,2,1,63,0,402,402,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0503,-16015,DST,Dolphins D/ST,MIA,1,1,2,1,61,0,330,330,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0515,-16026,DST,Seahawks D/ST,SEA,1,0,3,1,63,0,331,331,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0525,-16027,DST,Buccaneers D/ST,TB,1,1,2,1,62,0,373,373,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0505,-16020,DST,Jets D/ST,NYJ,1,1,4,1,63,0,303,303,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0523,-16009,DST,Packers D/ST,GB,1,0,2,1,64,0,354,354,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0520,-16028,DST,Commanders D/ST,WAS,1,1,2,1,64,0,379,379,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
