id,src_id,pos,player,team,pass_att,pass_comp,pass_yds,pass_tds,pass_int,rush_att,rush_yds,rush_tds,data_src,fumbles_lost,site_pts,bye,opp,draft_rank,pass_comp_pct,pass_rate,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,yahoo_site_points,two_pts
14783,4040715,QB,Jalen Hurts,PHI,33,22,262,1,1,10,40,1,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13116,3139477,QB,Patrick Mahomes,KCC,38,26,312,3,1,5,30,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14779,4038941,QB,Justin Herbert,LAC,35,24,268,2,1,4,14,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13589,3918298,QB,Josh Allen,BUF,35,24,261,2,1,5,25,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13593,3916387,QB,Lamar Jackson,BAL,28,19,236,2,1,10,57,1,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14778,4241479,QB,Tua Tagovailoa,MIA,33,23,296,2,1,3,6,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16150,4432577,QB,C.J. Stroud,HOU,31,19,239,2,0,3,14,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15698,4361741,QB,Brock Purdy,SF,29,19,243,1,1,3,10,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10700,14880,QB,Kirk Cousins,MIN,38,26,277,2,1,2,8,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13590,3052587,QB,Baker Mayfield,TB,38,24,261,1,1,4,14,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13113,3122840,QB,Deshaun Watson,CLE,32,21,238,1,1,5,24,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12611,3046779,QB,Jared Goff,DET,34,23,243,2,1,2,6,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15237,4360310,QB,Trevor Lawrence,JAC,34,23,237,1,1,5,27,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12620,2577417,QB,Dak Prescott,DAL,35,24,255,1,1,3,14,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14056,3917315,QB,Kyler Murray,ARI,NA,NA,NA,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15238,4362887,QB,Justin Fields,CHI,NA,NA,NA,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14777,3915511,QB,Joe Burrow,CIN,43,28,259,2,1,2,7,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10703,14881,QB,Russell Wilson,DEN,34,22,219,1,1,4,22,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14782,4036378,QB,Jordan Love,GB,33,20,237,1,1,4,14,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11150,15864,QB,Geno Smith,SEA,33,22,231,1,1,3,14,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9431,12483,QB,Matthew Stafford,LAR,35,22,268,1,1,2,5,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15693,4426875,QB,Sam Howell,WAS,39,25,269,1,1,3,15,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15692,4240703,QB,Kenny Pickett,PIT,35,22,236,1,1,4,12,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11644,16757,QB,Derek Carr,NO,38,24,254,1,1,2,6,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10697,14876,QB,Ryan Tannehill,TEN,NA,NA,NA,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16148,4685720,QB,Bryce Young,CAR,36,23,244,1,1,2,10,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11760,16760,QB,Jimmy Garoppolo,LV,38,26,293,1,1,3,4,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15697,4239086,QB,Desmond Ridder,ATL,30,19,222,1,1,4,17,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14059,3917792,QB,Daniel Jones,NYG,32,21,199,1,1,8,43,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14067,4038524,QB,Gardner Minshew,IND,32,20,219,1,1,3,11,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15239,4361259,QB,Zach Wilson,NYJ,31,19,206,1,1,3,17,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13119,3044720,QB,Joshua Dobbs,ARI,35,22,194,1,1,6,29,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9714,12477,QB,Brian Hoyer,LV,NA,NA,NA,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16384,4434153,QB,Tyson Bagent,CHI,34,22,240,1,1,3,13,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15694,4242512,QB,Malik Willis,TEN,29,18,202,1,1,4,17,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10262,13987,QB,Blaine Gabbert,KCC,NA,NA,NA,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13595,3116407,QB,Mason Rudolph,PIT,NA,NA,NA,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13968,3059989,QB,Nick Mullens,MIN,NA,NA,NA,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14065,3722362,QB,Brett Rypien,LAR,NA,NA,NA,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13873,3045169,QB,Tim Boyle,NYJ,NA,NA,NA,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14057,3924327,QB,Drew Lock,SEA,NA,NA,NA,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11640,16728,QB,Teddy Bridgewater,DET,NA,NA,NA,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13116,16413,QB,Patrick Mahomes II,KC,37.7,26.3,308.9,2.3,0.8,4.6,25.3,0.2,FantasyPros,0.1,23.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13593,17233,QB,Lamar Jackson,BAL,29.8,20.4,233.4,1.6,0.6,9.9,52.9,0.5,FantasyPros,0.2,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14783,19275,QB,Jalen Hurts,PHI,33,21.4,250.1,1.5,0.8,9.8,43.6,0.6,FantasyPros,0.2,22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13589,17298,QB,Josh Allen,BUF,33.9,23.1,256.9,2,0.8,5.2,28.6,0.4,FantasyPros,0.2,21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14779,18635,QB,Justin Herbert,LAC,35.2,23.9,275.2,2,0.7,4.5,17.4,0.3,FantasyPros,0.1,21.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14778,19198,QB,Tua Tagovailoa,MIA,34.1,23.6,290.9,2,0.8,2.1,6.1,0.1,FantasyPros,0.2,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12611,15501,QB,Jared Goff,DET,34.4,23.3,258.9,1.8,0.7,2.3,7.5,0.2,FantasyPros,0.2,18.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15237,19780,QB,Trevor Lawrence,JAC,33.9,22.2,243.1,1.4,0.7,5.2,28.3,0.2,FantasyPros,0.2,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12620,15600,QB,Dak Prescott,DAL,33.7,22.2,246.4,1.6,0.7,3.9,16.1,0.2,FantasyPros,0.2,17.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16150,23071,QB,C.J. Stroud,HOU,31.9,19.8,248.2,1.7,0.6,2.9,12.2,0.1,FantasyPros,0.2,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15698,19797,QB,Brock Purdy,SF,29.7,19.6,243.6,1.7,0.7,2.7,9.3,0.2,FantasyPros,0.2,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14777,19196,QB,Joe Burrow,CIN,40,26.3,257.2,1.5,0.8,2.9,12.1,0.1,FantasyPros,0.1,17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10700,11177,QB,Kirk Cousins,MIN,36.6,24.6,272.9,1.6,0.8,1.9,5.8,0.1,FantasyPros,0.2,17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10703,11180,QB,Russell Wilson,DEN,32.3,20.7,219.5,1.4,0.6,4.2,22.6,0.1,FantasyPros,0.1,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15693,23045,QB,Sam Howell,WAS,35.4,23.1,243.9,1.3,0.9,3.7,17.2,0.2,FantasyPros,0.2,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14782,19246,QB,Jordan Love,GB,31.7,19.7,227.3,1.4,0.9,3.6,17,0.2,FantasyPros,0.2,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11760,12208,QB,Jimmy Garoppolo,LV,36.1,24.3,276.7,1.3,1.1,2.3,7.1,0.1,FantasyPros,0.2,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9431,9451,QB,Matthew Stafford,LAR,34.5,21.1,259,1.4,0.8,1.6,4.1,0.1,FantasyPros,0.1,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11150,11687,QB,Geno Smith,SEA,33.1,21.4,230.6,1.3,0.8,3.4,15.1,0.1,FantasyPros,0.1,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13590,17237,QB,Baker Mayfield,TB,36,23.5,238.5,1.2,0.9,3.9,14.9,0.1,FantasyPros,0.2,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15692,22722,QB,Kenny Pickett,PIT,32.7,20.2,222.8,1.2,0.9,4.3,16.8,0.2,FantasyPros,0.1,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11644,12092,QB,Derek Carr,NO,36.2,23.1,246.5,1.3,0.7,2.1,6.4,0.1,FantasyPros,0.1,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15697,20080,QB,Desmond Ridder,ATL,29,19.1,222.2,1.1,0.7,3.9,16.7,0.2,FantasyPros,0.2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16384,25321,QB,Tyson Bagent,CHI,32,20.6,218.5,1.2,0.9,3.1,14.8,0.2,FantasyPros,0.2,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14067,18562,QB,Gardner Minshew II,IND,30.9,19.3,218.2,1.2,0.8,3.7,13.3,0.2,FantasyPros,0.2,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16148,22900,QB,Bryce Young,CAR,34.9,22.4,230,1.3,0.8,2.2,10,0.1,FantasyPros,0.2,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13119,16417,QB,Joshua Dobbs,ARI,34,21.2,199.4,1,0.8,5.5,26.6,0.2,FantasyPros,0.2,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15241,20156,QB,Mac Jones,NE,34.5,23.1,231.7,1.2,0.9,2.8,10,0.1,FantasyPros,0.1,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15239,22679,QB,Zach Wilson,NYJ,30.5,18.2,200.2,1,0.8,3.7,16.6,0.2,FantasyPros,0.1,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
