player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_49,fg_49_att,fg_39,fg_att_39,opp,fg_miss,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Justin Tucker,K,BAL,1,2.2,2.6,0,0,0.6,0.6,0.7,0.8,0.5,0.6,0.3,0.3,3.9,4,10.5,10.5,1985374,CBS,10976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,ATL,1,2.2,2.6,0,0,0.6,0.6,0.7,0.7,0.5,0.7,0.4,0.4,3.4,3.5,10,10,2820093,CBS,13403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,1,2.2,2.4,0,0,0.7,0.7,0.5,0.5,0.7,0.8,0.3,0.3,2.2,2.5,8.8,8.8,2961997,CBS,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad Ryland,K,ARI,1,2.1,2.4,0,0,0.5,0.5,0.8,0.8,0.5,0.7,0.3,0.3,2.5,2.5,8.8,8.8,2964074,CBS,16292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Seibert,K,WAS,1,2,2.2,0,0,0.7,0.7,0.6,0.6,0.6,0.7,0.1,0.1,2.7,2.7,8.7,8.7,2179668,CBS,14258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,1,2,2.3,0,0,0.5,0.5,0.6,0.7,0.5,0.6,0.4,0.4,2.4,2.5,8.4,8.4,1996562,CBS,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blake Grupe,K,NO,1,2,2.3,0,0,0.5,0.5,0.6,0.6,0.6,0.7,0.3,0.3,2.4,2.6,8.4,8.4,2876348,CBS,16444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,1,1.9,2.2,0,0,0.6,0.6,0.6,0.6,0.4,0.5,0.3,0.3,2.6,2.7,8.3,8.3,2078888,CBS,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,1,1.7,2.1,0,0,0.5,0.5,0.5,0.5,0.5,0.6,0.2,0.2,3,3.1,8.1,8.1,2080295,CBS,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,1,1.8,2.2,0,0,0.5,0.5,0.5,0.5,0.5,0.6,0.3,0.3,2.6,2.8,8,8,2962681,CBS,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Moody,K,SF,1,1.8,2,0,0,0.6,0.6,0.5,0.5,0.4,0.5,0.3,0.3,2.6,2.6,8,8,2968527,CBS,16286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joshua Karty,K,LAR,1,1.9,2.2,0,0,0.6,0.6,0.6,0.7,0.5,0.6,0.2,0.2,2.3,2.6,8,8,3163734,CBS,16775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Sanders,K,MIA,1,1.8,2.2,0,0,0.4,0.4,0.6,0.6,0.5,0.6,0.3,0.3,2.5,2.6,7.9,7.9,2131909,CBS,13832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,1,1.7,2,0,0,0.4,0.4,0.6,0.7,0.4,0.7,0.2,0.2,2.8,3,7.9,7.9,2188356,CBS,14983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,1,1.8,2.1,0,0,0.4,0.5,0.5,0.5,0.5,0.6,0.3,0.3,2.3,2.5,7.7,7.7,2132690,CBS,11945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,1,1.8,2,0,0,0.4,0.4,0.5,0.6,0.5,0.5,0.3,0.3,2,2.1,7.4,7.4,2815718,CBS,16414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
