player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_49,fg_49_att,fg_39,fg_att_39,opp,fg_miss,bye,curr_site_pts,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Ka'imi Fairbairn,K,HOU,1,2.4,2.7,0,0,0.6,0.6,0.8,0.8,0.6,0.7,0.4,0.4,3,3,10.2,10.2,1996562,CBS,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Seibert,K,WAS,1,2.2,2.4,0,0,0.7,0.7,0.7,0.7,0.7,0.7,0.1,0.1,3.3,3.4,9.9,9.9,2179668,CBS,14258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Sanders,K,MIA,1,2,2.3,0,0,0.4,0.5,0.7,0.7,0.5,0.6,0.3,0.3,2.9,2.9,8.9,8.9,2131909,CBS,13832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spencer Shrader,K,KC,1,1.9,2.2,0,0,0.5,0.6,0.6,0.7,0.6,0.7,0.2,0.2,3.1,3.1,8.8,8.8,3131541,CBS,16896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,K,SEA,1,2,2.3,0,0,0.5,0.5,0.7,0.7,0.5,0.6,0.3,0.3,2.7,2.8,8.7,8.7,2169640,CBS,12437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Bates,K,DET,1,1.7,1.9,0,0,0.4,0.4,0.6,0.6,0.4,0.5,0.3,0.3,3.5,3.6,8.6,8.6,3173439,CBS,16846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,1,2.1,2.2,0,0,0.6,0.6,0.5,0.5,0.6,0.6,0.3,0.3,2.1,2.3,8.4,8.4,2961997,CBS,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,GB,1,1.8,2.2,0,0,0.4,0.4,0.7,0.7,0.5,0.6,0.3,0.3,2.5,2.6,7.9,7.9,2058320,CBS,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,1,1.7,2.1,0,0,0.5,0.5,0.6,0.6,0.5,0.5,0.2,0.2,2.8,2.9,7.9,7.9,2080295,CBS,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,TB,1,1.8,1.9,0,0,0.5,0.5,0.5,0.5,0.4,0.5,0.3,0.3,2.4,2.5,7.8,7.8,2165272,CBS,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Moody,K,SF,1,1.7,2.1,0,0,0.6,0.6,0.5,0.5,0.4,0.6,0.2,0.2,2.3,2.4,7.4,7.4,2968527,CBS,16286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
