id,src_id,pos,player,team,fg_50,fg_50_att,fg_49,fg_49_att,fg_39,fg_att_39,fg,fg_att,xp,xp_att,data_src,site_pts,opp,fg_0019,fg_2029,fg_3039,fg_4049,fg_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
13354,3055899,K,Harrison Butker,KCC,0,0,0,1,1,1,2,2,3,3,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16414,3953687,K,Brandon Aubrey,DAL,0,0,0,1,1,1,2,2,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10976,15683,K,Justin Tucker,BAL,0,0,0,1,1,1,2,2,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13303,3050478,K,Jake Elliott,PHI,0,0,0,1,1,1,2,2,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10868,14993,K,Greg Zuerlein,NYJ,0,0,0,1,1,1,2,2,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12860,2971573,K,Ka'imi Fairbairn,HOU,0,0,0,1,1,1,2,2,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15368,4360234,K,Evan McPherson,CIN,0,0,0,1,1,1,2,2,3,3,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16286,4372066,K,Jake Moody,SF,0,0,0,1,1,1,2,2,3,3,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15979,4362081,K,Cameron Dicker,LAC,0,0,0,1,1,1,2,2,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11945,17427,K,Cairo Santos,CHI,0,0,0,1,1,1,2,2,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13403,3049899,K,Younghoe Koo,ATL,0,0,0,1,1,1,2,2,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16846,4689936,K,Jake Bates,DET,0,0,0,1,1,1,2,2,3,3,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11387,15965,K,Dustin Hopkins,CLE,0,0,0,1,1,1,2,2,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14244,4249087,K,Matt Gay,IND,0,0,0,1,1,1,2,2,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13719,4034949,K,Eddy Pineiro,CAR,0,0,0,1,1,1,2,2,1,1,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14717,3150744,K,Chase McLaughlin,TB,0,0,0,1,1,1,2,2,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13832,3124679,K,Jason Sanders,MIA,0,0,0,1,1,1,2,2,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8851,10621,K,Nick Folk,TEN,0,0,0,1,1,1,2,2,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16775,4566192,K,Joshua Karty,LAR,0,0,0,1,1,1,2,2,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16873,4361765,K,Brayden Narveson,GB,0,0,0,1,1,1,2,2,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8930,11122,K,Matt Prater,ARI,0,0,0,1,1,1,2,2,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
