id,src_id,pos,player,team,pass_att,pass_comp,pass_yds,pass_tds,pass_int,rush_att,rush_yds,rush_tds,data_src,fumbles_lost,site_pts,opp,pass_09_tds,pass_1019_tds,pass_2029_tds,pass_3039_tds,pass_4049_tds,pass_50_tds,sacks,scoring_opp,bye,draft_rank,pass_comp_pct,pass_rate,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value
13589,3918298,QB,Josh Allen,BUF,31,20,229,2,1,7,38,1,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14783,4040715,QB,Jalen Hurts,PHI,34,21,244,1,1,9,38,1,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13593,3916387,QB,Lamar Jackson,BAL,31,20,242,1,1,9,57,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13116,3139477,QB,Patrick Mahomes,KCC,36,25,268,2,1,4,24,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16152,4429084,QB,Anthony Richardson,IND,30,18,204,1,1,8,39,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16150,4432577,QB,C.J. Stroud,HOU,34,22,268,2,1,3,10,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14777,3915511,QB,Joe Burrow,CIN,35,24,267,2,1,4,13,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12620,2577417,QB,Dak Prescott,DAL,37,26,284,2,1,3,11,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14056,3917315,QB,Kyler Murray,ARI,33,22,237,1,1,6,32,0,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14782,4036378,QB,Jordan Love,GB,NA,NA,NA,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
