id,src_id,pos,player,team,rush_att,rush_yds,rush_tds,rec_yds,rec_tds,rec,rec_tgt,pass_att,pass_comp,pass_yds,pass_tds,pass_int,data_src,fumbles_lost,site_pts,opp,rec_rz_tgt,rec_09_tds,rec_1019_tds,rec_2029_tds,rec_3039_tds,rec_4049_tds,rec_50_tds,return_yds,scoring_opp,bye,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds
14832,4241389,WR,CeeDee Lamb,DAL,1,6,0,100,1,7,11,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12801,3116406,WR,Tyreek Hill,MIA,0,2,0,78,0,6,9,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15287,4374302,WR,Amon-Ra St. Brown,DET,0,2,0,82,0,7,10,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15281,4362628,WR,Ja'Marr Chase,CIN,0,1,0,85,1,7,9,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14836,4262921,WR,Justin Jefferson,MIN,0,1,0,91,0,7,10,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14104,4047646,WR,A.J. Brown,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16211,4426515,WR,Puka Nacua,LAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15753,4569618,WR,Garrett Wilson,NYJ,0,1,0,72,1,5,9,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15754,4361370,WR,Chris Olave,NO,0,2,0,74,1,5,8,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14842,4035687,WR,Michael Pittman Jr.,IND,NA,NA,NA,63,0,6,9,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11671,16737,WR,Mike Evans,TB,NA,NA,NA,65,1,5,8,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11675,16800,WR,Davante Adams,LV,NA,NA,NA,73,0,6,9,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16614,4432708,WR,Marvin Harrison Jr.,ARI,NA,NA,NA,73,1,5,8,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15751,4426502,WR,Drake London,ATL,NA,NA,NA,61,0,5,8,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15290,4258173,WR,Nico Collins,HOU,NA,NA,NA,80,0,5,8,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16615,4595348,WR,Malik Nabers,NYG,NA,NA,NA,71,0,6,9,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14102,4047650,WR,DK Metcalf,SEA,NA,NA,NA,66,0,5,8,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14136,3126486,WR,Deebo Samuel Sr.,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14840,4360438,WR,Brandon Aiyuk,SF,NA,NA,NA,85,0,5,7,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13635,3915416,WR,DJ Moore,CHI,0,1,0,70,0,5,9,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12186,2976212,WR,Stefon Diggs,HOU,0,1,0,55,0,4,6,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15282,4241478,WR,DeVonta Smith,PHI,NA,NA,NA,78,0,6,9,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15284,4372016,WR,Jaylen Waddle,MIA,0,2,0,51,0,5,7,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13164,2977187,WR,Cooper Kupp,LAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13629,3925357,WR,Calvin Ridley,TEN,0,2,0,57,0,4,7,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16190,4429615,WR,Zay Flowers,BAL,1,6,0,70,0,5,8,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16194,4428331,WR,Rashee Rice,KCC,0,1,0,78,1,7,9,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14835,4239993,WR,Tee Higgins,CIN,NA,NA,NA,43,0,3,5,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15762,4426354,WR,George Pickens,PIT,0,2,0,60,0,4,7,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13163,3116165,WR,Chris Godwin,TB,0,2,0,64,0,6,8,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16204,4366031,WR,Tank Dell,HOU,1,7,0,53,0,4,6,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12175,2976499,WR,Amari Cooper,CLE,NA,NA,NA,52,0,4,7,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14208,3932905,WR,Diontae Johnson,CAR,NA,NA,NA,58,0,4,7,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11222,15818,WR,Keenan Allen,CHI,0,1,0,56,0,6,8,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14109,3121422,WR,Terry McLaurin,WAS,NA,NA,NA,57,0,5,7,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13633,3895856,WR,Christian Kirk,JAC,NA,NA,NA,50,0,5,7,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
