team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,pos,src_id,player,dst_fumbles,bye,opp,idp_solo,pct_owned,return_tds
HOU,1.1,0,4.6,34.3,0.9,1.2,0.2,13.6,13.6,0,80,225,225,19.8,19.8,CBS,0532,DST,1932,NA,NA,NA,NA,NA,NA,NA
PIT,1,0,3.4,38.2,1,1.3,0.2,20.7,20.7,0,78,296,296,14.6,14.6,CBS,0510,DST,1922,NA,NA,NA,NA,NA,NA,NA
NE,0.6,0,2.8,34.9,0.7,0.9,0.2,17.7,17.7,0,102,233,233,14.6,14.6,CBS,0504,DST,1931,NA,NA,NA,NA,NA,NA,NA
DAL,1.1,0,3.6,39.4,0.6,0.9,0.2,20.9,20.9,0,85,294,294,14.2,14.2,CBS,0516,DST,1908,NA,NA,NA,NA,NA,NA,NA
ATL,1,0,3.3,40.5,0.8,1.1,0.2,19.8,19.8,0,128,275,275,14.1,14.1,CBS,0526,DST,1902,NA,NA,NA,NA,NA,NA,NA
CHI,1.8,0,3.9,37,1,1.3,0.3,22.5,22.5,0,119,310,310,13.3,13.3,CBS,0521,DST,1906,NA,NA,NA,NA,NA,NA,NA
BAL,0.8,0,2.7,41,0.7,0.9,0.2,17.2,17.2,0,102,265,265,12.9,12.9,CBS,0531,DST,1903,NA,NA,NA,NA,NA,NA,NA
GB,0.6,0,3.7,39.9,0.6,0.8,0.1,17,17,0,100,263,263,12.7,12.7,CBS,0523,DST,1911,NA,NA,NA,NA,NA,NA,NA
MIN,0.6,0,3.4,43.4,0.8,1.1,0.2,20.8,20.8,0,115,315,315,11.4,11.4,CBS,0524,DST,1916,NA,NA,NA,NA,NA,NA,NA
LAC,0.9,0,3.2,40.4,0.6,0.8,0.2,20.8,20.8,0,125,310,310,11.4,11.4,CBS,0514,DST,1924,NA,NA,NA,NA,NA,NA,NA
KC,0.8,0,1.9,42.6,0.6,0.9,0.1,20,20,0,118,298,298,11.3,11.3,CBS,0512,DST,1914,NA,NA,NA,NA,NA,NA,NA
BUF,0.7,0.1,3,41.8,0.9,1.2,0.2,23.7,23.7,0,133,350,350,9.6,9.6,CBS,0501,DST,1904,NA,NA,NA,NA,NA,NA,NA
MIA,0.7,0.1,2.9,43.1,0.9,1.3,0.2,25.9,25.9,0,135,342,342,9.5,9.5,CBS,0503,DST,1915,NA,NA,NA,NA,NA,NA,NA
LAR,0.9,0,2.5,40.5,0.9,1.3,0.2,21,21,0,100,321,321,9.3,9.3,CBS,0528,DST,1923,NA,NA,NA,NA,NA,NA,NA
DEN,0.7,0,3.7,41.2,0.5,0.7,0.1,21.4,21.4,0,105,306,306,8.7,8.7,CBS,0511,DST,1909,NA,NA,NA,NA,NA,NA,NA
JAC,0.8,0,2.6,42.4,0.6,0.8,0.2,23.7,23.7,0,106,349,349,8.6,8.6,CBS,0509,DST,1913,NA,NA,NA,NA,NA,NA,NA
PHI,0.7,0.1,2.1,44.8,0.8,1.1,0.2,24.8,24.8,0,142,358,358,8.5,8.5,CBS,0518,DST,1921,NA,NA,NA,NA,NA,NA,NA
CLE,0.5,0,3.2,41,0.8,1.1,0.1,25.8,25.8,0,148,330,330,8.4,8.4,CBS,0507,DST,1930,NA,NA,NA,NA,NA,NA,NA
ARI,0.7,0,2,45.5,0.9,1.2,0.2,24.1,24.1,0,114,377,377,8.4,8.4,CBS,0519,DST,1901,NA,NA,NA,NA,NA,NA,NA
WAS,1,0,2,39.9,0.6,0.8,0.2,25.7,25.7,0,116,349,349,8.4,8.4,CBS,0520,DST,1929,NA,NA,NA,NA,NA,NA,NA
DET,0.4,0,3.5,42.5,0.6,0.8,0.1,25.3,25.3,0,137,313,313,8.1,8.1,CBS,0522,DST,1910,NA,NA,NA,NA,NA,NA,NA
TEN,0.5,0,3.3,40.7,0.5,0.7,0.1,21.4,21.4,0,108,300,300,7.9,7.9,CBS,0508,DST,1928,NA,NA,NA,NA,NA,NA,NA
SF,0.5,0,2.2,41.5,0.8,1.2,0.1,21,21,0,129,307,307,7.4,7.4,CBS,0530,DST,1925,NA,NA,NA,NA,NA,NA,NA
SEA,0.4,0,2.6,43.9,0.6,0.8,0.1,22.1,22.1,0,104,323,323,7.2,7.2,CBS,0515,DST,1926,NA,NA,NA,NA,NA,NA,NA
NYJ,0.5,0,3.3,44.1,0.8,1.1,0.2,34.7,34.7,0,142,385,385,7.1,7.1,CBS,0505,DST,1919,NA,NA,NA,NA,NA,NA,NA
NYG,0.6,0,1.9,43.6,0.6,0.8,0.1,26.3,26.3,0,156,384,384,6.9,6.9,CBS,0517,DST,1918,NA,NA,NA,NA,NA,NA,NA
CAR,0.6,0,1.4,42.3,0.5,0.6,0.1,25,25,0,120,349,349,6.2,6.2,CBS,0527,DST,1905,NA,NA,NA,NA,NA,NA,NA
LV,0.7,0,1.6,44.4,0.8,1,0.2,27.4,27.4,0,105,342,342,5.8,5.8,CBS,0513,DST,1920,NA,NA,NA,NA,NA,NA,NA
TB,0.5,0,2,44.7,0.7,0.9,0.1,28.4,28.4,0,137,357,357,5,5,CBS,0525,DST,1927,NA,NA,NA,NA,NA,NA,NA
