player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned,return_tds
Jaxon Smith-Njigba,WR,SEA,1,9.1,6.7,99.4,99.4,14.8,0.6,0.4,2,5,0,0.1,12.4,12.4,3162959,CBS,16185,NA,NA,NA,NA,NA,NA,NA,NA
Rashee Rice,WR,KC,1,7.8,5.8,73.2,73.2,12.6,0.7,0.4,1.8,4.5,0.1,0,11.8,11.8,3124978,CBS,16194,NA,NA,NA,NA,NA,NA,NA,NA
Amon-Ra St. Brown,WR,DET,1,10.3,7.4,80.3,80.3,10.9,0.6,0.2,0.7,3.5,0,0,11.6,11.6,2967690,CBS,15287,NA,NA,NA,NA,NA,NA,NA,NA
Puka Nacua,WR,LAR,1,9.2,7.1,88.8,88.8,12.5,0.5,0.7,6,8.6,0.1,0.1,11.4,11.4,3121687,CBS,16211,NA,NA,NA,NA,NA,NA,NA,NA
Emeka Egbuka,WR,TB,1,9.2,4.8,77.2,77.2,16.1,0.7,0.2,0.8,4,0,0,11.2,11.2,26696165,CBS,17081,NA,NA,NA,NA,NA,NA,NA,NA
George Pickens,WR,DAL,1,8.1,5.6,80.9,80.9,14.5,0.5,0.1,0.3,3,0,0,11,11,3123212,CBS,15762,NA,NA,NA,NA,NA,NA,NA,NA
Ja'Marr Chase,WR,CIN,1,11,7.6,87.4,87.4,11.5,0.5,0.2,0.6,3,0,0.1,10.8,10.8,2966320,CBS,15281,NA,NA,NA,NA,NA,NA,NA,NA
Davante Adams,WR,LAR,1,8.7,4.7,62.9,62.9,13.4,0.8,0,0,0,0,0,10.8,10.8,1893167,CBS,11675,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Brown,WR,PHI,1,7.2,4.6,63.5,63.5,13.8,0.6,0,0,0,0,0,9.6,9.6,2258303,CBS,14104,NA,NA,NA,NA,NA,NA,NA,NA
Nico Collins,WR,HOU,1,7.6,4.9,71.8,71.8,14.7,0.4,0.1,0.7,7,0,0.1,9.2,9.2,2878193,CBS,15290,NA,NA,NA,NA,NA,NA,NA,NA
Courtland Sutton,WR,DEN,1,6.6,4,64.7,64.7,16.2,0.5,0,0,0,0,0,9,9,2218461,CBS,13630,NA,NA,NA,NA,NA,NA,NA,NA
