player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,fumble_TD
Jaxon Smith-Njigba,WR,SEA,1,9.2,6.7,102,102,15.2,0.7,0.4,1.9,4.8,0,0.1,14,14,3162959,CBS,16185,NA,NA,NA,NA,NA,NA,NA,NA
Puka Nacua,WR,LAR,1,8.8,6.6,91.5,91.5,13.9,0.5,0.6,4.7,7.8,0.1,0,12.6,12.6,3121687,CBS,16211,NA,NA,NA,NA,NA,NA,NA,NA
Drake London,WR,ATL,1,9.2,5.8,80.8,80.8,13.9,0.7,0,0,0,0,0.1,12,12,3127902,CBS,15751,NA,NA,NA,NA,NA,NA,NA,NA
Nico Collins,WR,HOU,1,8.5,5.4,83.5,83.5,15.5,0.6,0.1,1,10,0.1,0.1,12,12,2878193,CBS,15290,NA,NA,NA,NA,NA,NA,NA,NA
George Pickens,WR,DAL,1,8.3,5.5,81.2,81.2,14.8,0.6,0.1,0.2,2,0,0,11.6,11.6,3123212,CBS,15762,NA,NA,NA,NA,NA,NA,NA,NA
Ja'Marr Chase,WR,CIN,1,10.1,6.8,80.7,80.7,11.9,0.5,0.2,0.9,4.5,0,0,11,11,2966320,CBS,15281,NA,NA,NA,NA,NA,NA,NA,NA
Davante Adams,WR,LAR,1,7.9,4.4,60.5,60.5,13.8,0.8,0,0,0,0,0,10.8,10.8,1893167,CBS,11675,NA,NA,NA,NA,NA,NA,NA,NA
CeeDee Lamb,WR,DAL,1,9.3,6.2,82.7,82.7,13.3,0.4,0.4,2.2,5.5,0,0,10.4,10.4,2865251,CBS,14832,NA,NA,NA,NA,NA,NA,NA,NA
Rashee Rice,WR,KC,1,7.5,5.4,60.1,60.1,11.1,0.6,0.5,1.8,3.6,0.1,0,10.2,10.2,3124978,CBS,16194,NA,NA,NA,NA,NA,NA,NA,NA
Jameson Williams,WR,DET,1,6.8,4.2,72.2,72.2,17.2,0.5,0.5,2.4,4.8,0,0,10,10,3125968,CBS,15756,NA,NA,NA,NA,NA,NA,NA,NA
Amon-Ra St. Brown,WR,DET,1,8.3,5.9,70.3,70.3,11.9,0.5,0.2,0.7,3.5,0,0,10,10,2967690,CBS,15287,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Brown,WR,PHI,1,7.6,4.9,64.7,64.7,13.2,0.6,0,0,0,0,0,9.6,9.6,2258303,CBS,14104,NA,NA,NA,NA,NA,NA,NA,NA
Emeka Egbuka,WR,TB,1,7.9,3.9,60.2,60.2,15.4,0.6,0.1,0.7,7,0,0,9.6,9.6,26696165,CBS,17081,NA,NA,NA,NA,NA,NA,NA,NA
Chris Olave,WR,NO,1,8.3,5.3,65.1,65.1,12.3,0.5,0.1,-0.1,-1,0,0,9,9,2963666,CBS,15754,NA,NA,NA,NA,NA,NA,NA,NA
Wan'Dale Robinson,WR,NYG,1,8.5,5.7,65.4,65.4,11.5,0.4,0.2,1.2,6,0,0,8.4,8.4,3124107,CBS,15757,NA,NA,NA,NA,NA,NA,NA,NA
Tetairoa McMillan,WR,CAR,1,7.2,4.2,62.7,62.7,14.9,0.4,0,0,0,0,0,8.4,8.4,28877124,CBS,17071,NA,NA,NA,NA,NA,NA,NA,NA
Zay Flowers,WR,BAL,1,6.8,4.8,68,68,14.2,0.4,0.6,3.6,6,0,0.1,8.2,8.2,3127049,CBS,16190,NA,NA,NA,NA,NA,NA,NA,NA
Terry McLaurin,WR,WAS,1,5.9,3.6,52.6,52.6,14.6,0.5,0,0,0,0,0,8,8,2139279,CBS,14109,NA,NA,NA,NA,NA,NA,NA,NA
DK Metcalf,WR,PIT,1,6.4,3.8,54.3,54.3,14.3,0.4,0.1,0.7,7,0.1,0,8,8,2260185,CBS,14102,NA,NA,NA,NA,NA,NA,NA,NA
Justin Jefferson,WR,MIN,1,7.6,4.7,68.2,68.2,14.5,0.3,0.1,0.1,1,0,0,7.8,7.8,2871343,CBS,14836,NA,NA,NA,NA,NA,NA,NA,NA
Jayden Higgins,WR,HOU,1,6.4,4.1,48,48,11.7,0.6,0,0,0,0,0,7.6,7.6,26708551,CBS,17083,NA,NA,NA,NA,NA,NA,NA,NA
Courtland Sutton,WR,DEN,1,6.6,4.1,51.3,51.3,12.5,0.4,0,0,0,0,0,7.4,7.4,2218461,CBS,13630,NA,NA,NA,NA,NA,NA,NA,NA
Jakobi Meyers,WR,JAC,1,6.5,4.4,53.6,53.6,12.2,0.4,0.3,1.2,4,0,0,7.4,7.4,2183835,CBS,14127,NA,NA,NA,NA,NA,NA,NA,NA
Rome Odunze,WR,CHI,1,6,3,44.3,44.3,14.8,0.5,0,0.2,0,0,0,7,7,3162979,CBS,16616,NA,NA,NA,NA,NA,NA,NA,NA
Deebo Samuel,WR,WAS,1,5.8,4.2,41.1,41.1,9.8,0.4,1.9,9.6,5.1,0.1,0,7,7,2139735,CBS,14136,NA,NA,NA,NA,NA,NA,NA,NA
Jaylen Waddle,WR,MIA,1,6.1,4.1,57,57,13.9,0.3,0.1,1.3,13,0,0,6.8,6.8,2962110,CBS,15284,NA,NA,NA,NA,NA,NA,NA,NA
Stefon Diggs,WR,NE,1,6.1,4.7,52.5,52.5,11.2,0.3,0.1,0.2,2,0,0,6.8,6.8,2000038,CBS,12186,NA,NA,NA,NA,NA,NA,NA,NA
DeVonta Smith,WR,PHI,1,6.5,4.6,58.9,58.9,12.8,0.3,0,0,0,0,0,6.8,6.8,2866975,CBS,15282,NA,NA,NA,NA,NA,NA,NA,NA
Ladd McConkey,WR,LAC,1,7,4.4,51.6,51.6,11.7,0.3,0,0,0,0,0,6.8,6.8,3163962,CBS,16627,NA,NA,NA,NA,NA,NA,NA,NA
Jauan Jennings,WR,SF,1,6.4,4,48.4,48.4,12.1,0.5,0,0,0,0,0.1,6.8,6.8,2180514,CBS,14860,NA,NA,NA,NA,NA,NA,NA,NA
Marvin Harrison Jr.,WR,ARI,1,6,3.4,51.5,51.5,15.2,0.3,0,0,0,0,0,6.8,6.8,26701883,CBS,16614,NA,NA,NA,NA,NA,NA,NA,NA
Ricky Pearsall,WR,SF,1,5.6,3.6,54.2,54.2,15.1,0.3,0.3,0.8,2.7,0,0,6.8,6.8,3122949,CBS,16622,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Addison,WR,MIN,1,5.5,3.1,47.1,47.1,15.2,0.4,0.1,1.2,12,0,0,6.4,6.4,3162290,CBS,16186,NA,NA,NA,NA,NA,NA,NA,NA
Christian Watson,WR,GB,1,4.2,2.6,48.2,48.2,18.5,0.4,0.2,0.7,3.5,0,0,6.4,6.4,2869806,CBS,15789,NA,NA,NA,NA,NA,NA,NA,NA
Devaughn Vele,WR,NO,1,5,3.1,40.2,40.2,13,0.4,0,0,0,0,0,6.4,6.4,3121113,CBS,16788,NA,NA,NA,NA,NA,NA,NA,NA
Brian Thomas Jr.,WR,JAC,1,5.5,3,48.3,48.3,16.1,0.3,0.2,1.8,9,0.1,0,6.4,6.4,3132164,CBS,16618,NA,NA,NA,NA,NA,NA,NA,NA
Darius Slayton,WR,NYG,1,4.9,3.1,54.9,54.9,17.7,0.2,0,0.2,0,0,0.1,6,6,2183982,CBS,14122,NA,NA,NA,NA,NA,NA,NA,NA
Michael Pittman,WR,IND,1,6.6,4.7,43.9,43.9,9.3,0.3,0,0,0,0,0,5.8,5.8,2240188,CBS,14842,NA,NA,NA,NA,NA,NA,NA,NA
Xavier Worthy,WR,KC,1,5.2,3.2,37.6,37.6,11.8,0.2,1.3,11.3,8.7,0.1,0,5.8,5.8,26730787,CBS,16620,NA,NA,NA,NA,NA,NA,NA,NA
Chris Godwin,WR,TB,1,6.5,4,45.9,45.9,11.5,0.3,0.1,0.8,8,0,0,5.8,5.8,2818150,CBS,13163,NA,NA,NA,NA,NA,NA,NA,NA
Parker Washington,WR,JAC,1,4.9,2.9,36.6,36.6,12.6,0.4,0.4,0.3,0.8,0,0,5.4,5.4,3168820,CBS,16192,NA,NA,NA,NA,NA,NA,NA,NA
Kayshon Boutte,WR,NE,1,3.3,2.4,39.5,39.5,16.5,0.4,0,0,0,0,0,5.4,5.4,3163170,CBS,16193,NA,NA,NA,NA,NA,NA,NA,NA
Troy Franklin,WR,DEN,1,6.4,3.7,36.3,36.3,9.8,0.4,0.2,0.5,2.5,0,0.1,5.2,5.2,26693436,CBS,16619,NA,NA,NA,NA,NA,NA,NA,NA
Quentin Johnston,WR,LAC,1,5.5,3.2,37.9,37.9,11.8,0.4,0.2,0.5,2.5,0,0.1,5.2,5.2,3162609,CBS,16188,NA,NA,NA,NA,NA,NA,NA,NA
Michael Wilson,WR,ARI,1,5.1,3.3,41.9,41.9,12.7,0.2,0,0.1,0,0,0,5.2,5.2,2965181,CBS,16206,NA,NA,NA,NA,NA,NA,NA,NA
Alec Pierce,WR,IND,1,4.6,2.5,45.8,45.8,18.3,0.2,0,0,0,0,0,5.2,5.2,2965664,CBS,15768,NA,NA,NA,NA,NA,NA,NA,NA
DJ Moore,WR,CHI,1,4.7,3,38.1,38.1,12.7,0.3,0.8,3.7,4.6,0.1,0.1,5.2,5.2,2179328,CBS,13635,NA,NA,NA,NA,NA,NA,NA,NA
Adonai Mitchell,WR,NYJ,1,6.4,3.2,40.9,40.9,12.8,0.2,0.1,0.1,1,0,0.1,5,5,26701928,CBS,16626,NA,NA,NA,NA,NA,NA,NA,NA
Khalil Shakir,WR,BUF,1,5.3,4,41.8,41.8,10.5,0.2,0.1,0.3,3,0,0.1,5,5,2969119,CBS,15761,NA,NA,NA,NA,NA,NA,NA,NA
Jayden Reed,WR,GB,1,3.2,2.3,30.3,30.3,13.2,0.2,0.9,8,8.9,0.1,0,4.8,4.8,2967762,CBS,16184,NA,NA,NA,NA,NA,NA,NA,NA
Romeo Doubs,WR,GB,1,4.7,2.9,37.5,37.5,12.9,0.3,0,0,0,0,0,4.8,4.8,2961886,CBS,15779,NA,NA,NA,NA,NA,NA,NA,NA
Tre Tucker,WR,LV,1,4.8,3,37.7,37.7,12.6,0.3,0.5,2.9,5.8,0,0,4.8,4.8,3121848,CBS,16287,NA,NA,NA,NA,NA,NA,NA,NA
Andrei Iosivas,WR,CIN,1,4.7,2.7,35.3,35.3,13.1,0.3,0.2,0.7,3.5,0,0,4.8,4.8,2966908,CBS,16207,NA,NA,NA,NA,NA,NA,NA,NA
Jerry Jeudy,WR,CLE,1,5.9,3,41.1,41.1,13.7,0.1,0,0,0,0,0,4.6,4.6,2741201,CBS,14833,NA,NA,NA,NA,NA,NA,NA,NA
Keenan Allen,WR,LAC,1,5.5,3.7,37.1,37.1,10,0.2,0,0.1,0,0,0,4.2,4.2,1737096,CBS,11222,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Coker,WR,CAR,1,3.8,2.7,34.7,34.7,12.9,0.2,0,0,0,0,0,4.2,4.2,3163990,CBS,16809,NA,NA,NA,NA,NA,NA,NA,NA
