team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,pos,src_id,player,dst_fumbles,bye,opp,draft_rank,idp_solo,pct_owned,return_tds
GB,1.3,0.1,4.5,41.9,1.1,1.5,0.3,13,13,0,84,260,260,19.3,19.3,CBS,0523,DST,1911,NA,NA,NA,NA,NA,NA,NA,NA
MIN,0.9,0,3.3,39,0.9,1.2,0.2,19.2,19.2,0,72,272,272,14.1,14.1,CBS,0524,DST,1916,NA,NA,NA,NA,NA,NA,NA,NA
ATL,0.9,0,3.1,40,0.8,1.1,0.2,20.5,20.5,0,110,284,284,13.7,13.7,CBS,0526,DST,1902,NA,NA,NA,NA,NA,NA,NA,NA
BUF,1,0,3.6,43.8,1.3,1.8,0.2,20.4,20.4,0,130,336,336,13.4,13.4,CBS,0501,DST,1904,NA,NA,NA,NA,NA,NA,NA,NA
KC,0.7,0,4,39.8,0.6,0.8,0.1,17,17,0,94,272,272,13.2,13.2,CBS,0512,DST,1914,NA,NA,NA,NA,NA,NA,NA,NA
NO,1.3,0,3.5,39.3,0.6,0.8,0.2,20,20,0,105,318,318,12.5,12.5,CBS,0529,DST,1917,NA,NA,NA,NA,NA,NA,NA,NA
PIT,0.8,0,3.3,40.6,1,1.4,0.2,18.3,18.3,0,109,305,305,12.1,12.1,CBS,0510,DST,1922,NA,NA,NA,NA,NA,NA,NA,NA
WAS,0.9,0,3.4,38.9,0.8,1.2,0.2,20.5,20.5,0,87,302,302,12,12,CBS,0520,DST,1929,NA,NA,NA,NA,NA,NA,NA,NA
CIN,1.5,0,3.2,42.4,0.9,1.2,0.3,24.8,24.8,0,129,339,339,11.8,11.8,CBS,0506,DST,1907,NA,NA,NA,NA,NA,NA,NA,NA
IND,0.7,0,3.4,38.2,0.9,1.3,0.2,22.5,22.5,0,101,280,280,11.8,11.8,CBS,0502,DST,1912,NA,NA,NA,NA,NA,NA,NA,NA
TB,0.4,0,2.5,38.8,0.9,1.2,0.1,18.7,18.7,0,96,285,285,11.7,11.7,CBS,0525,DST,1927,NA,NA,NA,NA,NA,NA,NA,NA
SEA,0.7,0,2.3,40.5,0.4,0.5,0.1,16,16,0,107,293,293,11.1,11.1,CBS,0515,DST,1926,NA,NA,NA,NA,NA,NA,NA,NA
PHI,0.6,0,2.1,40.6,1,1.4,0.2,18.1,18.1,0,116,311,311,10.5,10.5,CBS,0518,DST,1921,NA,NA,NA,NA,NA,NA,NA,NA
DEN,0.3,0,3.6,38,0.8,1,0.1,21.5,21.5,0,95,284,284,10.4,10.4,CBS,0511,DST,1909,NA,NA,NA,NA,NA,NA,NA,NA
NE,0.6,0,3.5,39.9,0.5,0.6,0.1,23.7,23.7,0,96,295,295,10.3,10.3,CBS,0504,DST,1931,NA,NA,NA,NA,NA,NA,NA,NA
LAC,0.7,0.1,2,43.5,0.7,0.9,0.2,19.8,19.8,0,140,330,330,10.2,10.2,CBS,0514,DST,1924,NA,NA,NA,NA,NA,NA,NA,NA
JAC,0.6,0.1,3.1,39.2,0.4,0.6,0.1,20,20,0,101,303,303,9.9,9.9,CBS,0509,DST,1913,NA,NA,NA,NA,NA,NA,NA,NA
DAL,0.5,0,3.8,40.3,0.8,1.1,0.2,23,23,0,106,302,302,9.6,9.6,CBS,0516,DST,1908,NA,NA,NA,NA,NA,NA,NA,NA
HOU,1,0,2.7,40.1,0.7,1,0.2,21,21,0,108,317,317,9.3,9.3,CBS,0532,DST,1932,NA,NA,NA,NA,NA,NA,NA,NA
SF,0.6,0,2.4,42.3,0.8,1,0.2,22.3,22.3,0,132,313,313,8.4,8.4,CBS,0530,DST,1925,NA,NA,NA,NA,NA,NA,NA,NA
ARI,0.8,0,1.9,43.8,0.8,1,0.2,26.7,26.7,0,129,377,377,8.3,8.3,CBS,0519,DST,1901,NA,NA,NA,NA,NA,NA,NA,NA
NYG,0.6,0,3.1,43.4,0.6,0.8,0.1,25.6,25.6,0,115,344,344,8.1,8.1,CBS,0517,DST,1918,NA,NA,NA,NA,NA,NA,NA,NA
NYJ,1,0,3,43,0.6,0.9,0.2,28.9,28.9,0,128,341,341,7.4,7.4,CBS,0505,DST,1919,NA,NA,NA,NA,NA,NA,NA,NA
BAL,0.8,0,2.2,46.1,0.4,0.5,0.1,24.1,24.1,0,124,357,357,7.2,7.2,CBS,0531,DST,1903,NA,NA,NA,NA,NA,NA,NA,NA
CHI,0.7,0,2.4,45.3,1,1.4,0.2,27.3,27.3,0,115,386,386,7,7,CBS,0521,DST,1906,NA,NA,NA,NA,NA,NA,NA,NA
CAR,0.8,0.1,1.7,44.1,0.4,0.5,0.1,25.2,25.2,0,154,371,371,6.9,6.9,CBS,0527,DST,1905,NA,NA,NA,NA,NA,NA,NA,NA
CLE,0.6,0,2,40.2,0.5,0.7,0.1,26.7,26.7,0,124,330,330,6.8,6.8,CBS,0507,DST,1930,NA,NA,NA,NA,NA,NA,NA,NA
LAR,0.5,0,3.6,46.3,0.6,0.8,0.1,27.8,27.8,0,182,344,344,6.4,6.4,CBS,0528,DST,1923,NA,NA,NA,NA,NA,NA,NA,NA
LV,0.6,0,3.2,44.9,0.6,0.8,0.1,30.2,30.2,0,143,356,356,6.2,6.2,CBS,0513,DST,1920,NA,NA,NA,NA,NA,NA,NA,NA
TEN,0.8,0,1.6,44.6,0.8,1.1,0.2,27.7,27.7,0,140,373,373,6,6,CBS,0508,DST,1928,NA,NA,NA,NA,NA,NA,NA,NA
DET,0.4,0,1.8,44.1,0.7,1,0.1,29.7,29.7,0,175,403,403,4.6,4.6,CBS,0522,DST,1910,NA,NA,NA,NA,NA,NA,NA,NA
MIA,0.3,0,0.9,43.8,0.3,0.5,0.1,35.4,35.4,0,134,360,360,2.7,2.7,CBS,0503,DST,1915,NA,NA,NA,NA,NA,NA,NA,NA
PIT,1,NA,3,60,1,NA,0,347,NA,NA,NA,347,NA,NA,NA,ESPN,0510,DST,-16023,Steelers D/ST,1,NA,NA,NA,NA,NA,NA
DEN,1,NA,2,65,0,NA,0,357,NA,NA,NA,357,NA,NA,NA,ESPN,0511,DST,-16007,Broncos D/ST,1,NA,NA,NA,NA,NA,NA
HOU,1,NA,2,58,0,NA,0,352,NA,NA,NA,352,NA,NA,NA,ESPN,0532,DST,-16034,Texans D/ST,1,NA,NA,NA,NA,NA,NA
BAL,1,NA,2,62,1,NA,0,388,NA,NA,NA,388,NA,NA,NA,ESPN,0531,DST,-16033,Ravens D/ST,1,NA,NA,NA,NA,NA,NA
MIN,1,NA,3,62,0,NA,0,346,NA,NA,NA,346,NA,NA,NA,ESPN,0524,DST,-16016,Vikings D/ST,1,NA,NA,NA,NA,NA,NA
SEA,1,NA,2,64,0,NA,0,318,NA,NA,NA,318,NA,NA,NA,ESPN,0515,DST,-16026,Seahawks D/ST,1,NA,NA,NA,NA,NA,NA
DET,1,NA,2,63,0,NA,0,391,NA,NA,NA,391,NA,NA,NA,ESPN,0522,DST,-16008,Lions D/ST,1,NA,NA,NA,NA,NA,NA
NE,1,NA,3,63,0,NA,0,347,NA,NA,NA,347,NA,NA,NA,ESPN,0504,DST,-16017,Patriots D/ST,1,NA,NA,NA,NA,NA,NA
IND,1,NA,2,65,1,NA,0,329,NA,NA,NA,329,NA,NA,NA,ESPN,0502,DST,-16011,Colts D/ST,1,NA,NA,NA,NA,NA,NA
PHI,1,NA,2,61,1,NA,0,365,NA,NA,NA,365,NA,NA,NA,ESPN,0518,DST,-16021,Eagles D/ST,1,NA,NA,NA,NA,NA,NA
BUF,1,NA,3,63,1,NA,0,390,NA,NA,NA,390,NA,NA,NA,ESPN,0501,DST,-16002,Bills D/ST,1,NA,NA,NA,NA,NA,NA
NYJ,1,NA,2,63,0,NA,0,348,NA,NA,NA,348,NA,NA,NA,ESPN,0505,DST,-16020,Jets D/ST,1,NA,NA,NA,NA,NA,NA
NYG,1,NA,2,63,1,NA,0,360,NA,NA,NA,360,NA,NA,NA,ESPN,0517,DST,-16019,Giants D/ST,1,NA,NA,NA,NA,NA,NA
TB,1,NA,3,60,1,NA,0,330,NA,NA,NA,330,NA,NA,NA,ESPN,0525,DST,-16027,Buccaneers D/ST,1,NA,NA,NA,NA,NA,NA
ARI,1,NA,2,61,0,NA,0,309,NA,NA,NA,309,NA,NA,NA,ESPN,0519,DST,-16022,Cardinals D/ST,1,NA,NA,NA,NA,NA,NA
GB,1,NA,2,64,0,NA,0,306,NA,NA,NA,306,NA,NA,NA,ESPN,0523,DST,-16009,Packers D/ST,1,NA,NA,NA,NA,NA,NA
KCC,1,NA,3,61,1,NA,0,335,NA,NA,NA,335,NA,NA,NA,ESPN,0512,DST,-16012,Chiefs D/ST,1,NA,NA,NA,NA,NA,NA
CHI,1,NA,2,66,1,NA,0,377,NA,NA,NA,377,NA,NA,NA,ESPN,0521,DST,-16003,Bears D/ST,1,NA,NA,NA,NA,NA,NA
LAR,1,NA,2,65,1,NA,0,332,NA,NA,NA,332,NA,NA,NA,ESPN,0528,DST,-16014,Rams D/ST,1,NA,NA,NA,NA,NA,NA
JAC,1,NA,3,60,0,NA,0,354,NA,NA,NA,354,NA,NA,NA,ESPN,0509,DST,-16030,Jaguars D/ST,1,NA,NA,NA,NA,NA,NA
SF,1,NA,2,62,1,NA,0,336,NA,NA,NA,336,NA,NA,NA,ESPN,0530,DST,-16025,49ers D/ST,1,NA,NA,NA,NA,NA,NA
LAC,1,NA,2,62,0,NA,0,328,NA,NA,NA,328,NA,NA,NA,ESPN,0514,DST,-16024,Chargers D/ST,1,NA,NA,NA,NA,NA,NA
