player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds
Bijan Robinson,RB,ATL,1,16.5,91.9,5.6,0.6,4.5,3.5,31.1,31.1,8.9,0.3,0.1,17.2,17.2,3168163,CBS,16161,NA,NA,NA,NA,NA,NA,NA
Christian McCaffrey,RB,SF,1,15.2,75.3,5,0.5,6.2,5.1,45.8,45.8,9,0.3,0.1,15.6,15.6,2136743,CBS,13130,NA,NA,NA,NA,NA,NA,NA
Derrick Henry,RB,BAL,1,16.4,93.1,5.7,0.8,1.2,1,10.2,10.2,10.2,0.1,0.1,15.2,15.2,2061188,CBS,12626,NA,NA,NA,NA,NA,NA,NA
Saquon Barkley,RB,PHI,1,19.1,103,5.4,0.6,3,2.3,17.2,17.2,7.5,0.1,0.1,15,15,2185957,CBS,13604,NA,NA,NA,NA,NA,NA,NA
Jonathan Taylor,RB,IND,1,19.6,93.6,4.8,0.5,2.5,1.8,17.9,17.9,9.9,0.3,0.1,14.6,14.6,2866395,CBS,14802,NA,NA,NA,NA,NA,NA,NA
De'Von Achane,RB,MIA,1,10.8,62.7,5.8,0.3,5.1,4.3,32.8,32.8,7.6,0.4,0.1,13,13,3171161,CBS,16167,NA,NA,NA,NA,NA,NA,NA
Josh Jacobs,RB,GB,1,17.7,69.8,3.9,0.8,2.2,1.8,17.7,17.7,9.8,0.1,0.1,12.2,12.2,2257876,CBS,14073,NA,NA,NA,NA,NA,NA,NA
James Cook,RB,BUF,1,12.9,63.1,4.9,0.8,2.5,2.2,19.4,19.4,8.8,0.1,0.1,12.2,12.2,2975698,CBS,15715,NA,NA,NA,NA,NA,NA,NA
Bucky Irving,RB,TB,1,15,64.6,4.3,0.5,2.8,2.6,20.3,20.3,7.8,0.1,0.1,11.4,11.4,26693770,CBS,16598,NA,NA,NA,NA,NA,NA,NA
Javonte Williams,RB,DAL,1,14.4,60.7,4.2,0.6,4,3.1,20.7,20.7,6.7,0,0.1,11.4,11.4,2961719,CBS,15256,NA,NA,NA,NA,NA,NA,NA
Jahmyr Gibbs,RB,DET,1,12.9,63.2,4.9,0.5,4.5,3.7,28.2,28.2,7.6,0.1,0.1,11.4,11.4,3162723,CBS,16162,NA,NA,NA,NA,NA,NA,NA
Kyren Williams,RB,LAR,1,18.3,82.7,4.5,0.5,2.3,1.8,9.4,9.4,5.2,0.1,0.2,11.2,11.2,3121836,CBS,15710,NA,NA,NA,NA,NA,NA,NA
