player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,pass_comp,pass_att,pass_yds,pass_tds,pass_int,pos_rank,overall_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Jonathan Taylor,RB,IND,1,20,95.5,4.8,0.6,2.6,2.1,17.6,17.6,8.4,0.3,0.1,15.2,15.2,2866395,CBS,14802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jahmyr Gibbs,RB,DET,1,14.6,78,5.3,0.8,5.2,4.3,32.5,32.5,7.6,0.1,0.1,15.2,15.2,3162723,CBS,16162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Omarion Hampton,RB,LAC,1,16.2,76.9,4.8,0.8,2.9,2.3,23.7,23.7,10.3,0.1,0.2,14,14,28908905,CBS,17044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christian McCaffrey,RB,SF,1,15.7,66.8,4.3,0.3,7,5.2,51.4,51.4,9.9,0.2,0.1,13.8,13.8,2136743,CBS,13130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
De'Von Achane,RB,MIA,1,11.4,68.8,6,0.4,5.3,4.3,32.8,32.8,7.6,0.4,0.1,13.6,13.6,3171161,CBS,16167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyren Williams,RB,LAR,1,17.6,74.9,4.3,0.8,2.5,1.9,10.5,10.5,5.5,0.2,0.2,13.6,13.6,3121836,CBS,15710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saquon Barkley,RB,PHI,1,20.1,97.6,4.9,0.5,3,2.4,15.7,15.7,6.5,0.1,0.1,13.4,13.4,2185957,CBS,13604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Skattebo,RB,NYG,1,17,78.8,4.6,0.6,3,2.4,21.5,21.5,9,0.1,0.2,12.8,12.8,26697012,CBS,17045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashton Jeanty,RB,LV,1,16.3,61.7,3.8,0.7,2.9,2.3,15.9,15.9,6.9,0.3,0.2,12.6,12.6,28874008,CBS,17042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Cook,RB,BUF,1,14.4,68.4,4.8,0.8,2.6,2.3,19.2,19.2,8.4,0.1,0.1,12.2,12.2,2975698,CBS,15715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Breece Hall,RB,NYJ,1,14.4,60.7,4.2,0.3,4.9,3.7,35,35,9.5,0.2,0.1,11.8,11.8,3123469,CBS,15708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derrick Henry,RB,BAL,1,16.7,86.7,5.2,0.6,1.1,0.9,8.9,8.9,9.9,0,0.2,11.2,11.2,2061188,CBS,12626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacory Croskey-Merritt,RB,WAS,1,14.5,76.6,5.3,0.6,1.7,1.2,9.9,9.9,8.3,0.1,0.1,11,11,3126952,CBS,17256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woody Marks,RB,HOU,1,13.5,51,3.8,0.5,2.7,2,25.3,25.3,12.7,0.2,0.1,11,11,3171045,CBS,17053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Javonte Williams,RB,DAL,1,16.2,64.4,4,0.7,3.5,2.8,15.7,15.7,5.6,0,0.2,10.8,10.8,2961719,CBS,15256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quinshon Judkins,RB,CLE,1,19.1,79.7,4.2,0.5,1.8,1.4,10.4,10.4,7.4,0,0.2,10.6,10.6,28878286,CBS,17051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
