player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,fumble_TD
Jonathan Taylor,RB,IND,1,19.2,98.9,5.2,1,3.2,2.7,22.4,22.4,8.3,0.2,0.1,18,18,2866395,CBS,14802,NA,NA,NA,NA,NA,NA,NA,NA
Bijan Robinson,RB,ATL,1,15.5,85.1,5.5,0.6,5.9,4.5,47.6,47.6,10.6,0.4,0.1,17.8,17.8,3168163,CBS,16161,NA,NA,NA,NA,NA,NA,NA,NA
Christian McCaffrey,RB,SF,1,16.7,65.5,3.9,0.5,6.9,5.4,55.8,55.8,10.3,0.3,0.1,15.6,15.6,2136743,CBS,13130,NA,NA,NA,NA,NA,NA,NA,NA
De'Von Achane,RB,MIA,1,14.2,76.1,5.4,0.5,5.6,4.4,27.9,27.9,6.3,0.4,0.1,14.2,14.2,3171161,CBS,16167,NA,NA,NA,NA,NA,NA,NA,NA
Josh Jacobs,RB,GB,1,17.8,73.9,4.2,0.8,3.1,2.4,26.4,26.4,11,0,0.1,13.6,13.6,2257876,CBS,14073,NA,NA,NA,NA,NA,NA,NA,NA
James Cook,RB,BUF,1,16.1,80.8,5,0.7,2.5,2.1,18.4,18.4,8.8,0.1,0.1,13.6,13.6,2975698,CBS,15715,NA,NA,NA,NA,NA,NA,NA,NA
Saquon Barkley,RB,PHI,1,16.2,86.1,5.3,0.5,3,2.4,16.9,16.9,7,0.2,0.1,13,13,2185957,CBS,13604,NA,NA,NA,NA,NA,NA,NA,NA
Rachaad White,RB,TB,1,14.8,65.7,4.4,0.8,2.8,2.4,17.4,17.4,7.3,0.1,0.1,12.2,12.2,3169147,CBS,15721,NA,NA,NA,NA,NA,NA,NA,NA
Breece Hall,RB,NYJ,1,15,71,4.7,0.3,4.7,3.5,33,33,9.4,0.1,0.1,12.2,12.2,3123469,CBS,15708,NA,NA,NA,NA,NA,NA,NA,NA
Rico Dowdle,RB,CAR,1,13.8,84.7,6.1,0.4,2.4,1.8,14.6,14.6,8.1,0.1,0.1,11.8,11.8,2252798,CBS,14823,NA,NA,NA,NA,NA,NA,NA,NA
Derrick Henry,RB,BAL,1,15.9,89.6,5.6,0.7,1.4,1,9.7,9.7,9.7,0,0.2,11.8,11.8,2061188,CBS,12626,NA,NA,NA,NA,NA,NA,NA,NA
