player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds
Ja'Marr Chase,WR,CIN,1,9.3,6.7,81.4,81.4,12.2,0.7,0.2,0.7,3.5,0,0.1,12,12,2966320,CBS,15281,NA,NA,NA,NA,NA,NA,NA
Michael Pittman,WR,IND,1,7.9,5.5,60.7,60.7,11,0.8,0,0,0,0,0,10.8,10.8,2240188,CBS,14842,NA,NA,NA,NA,NA,NA,NA
Drake London,WR,ATL,1,9.7,6,74.5,74.5,12.4,0.6,0,-0.1,0,0,0.1,10.4,10.4,3127902,CBS,15751,NA,NA,NA,NA,NA,NA,NA
Emeka Egbuka,WR,TB,1,7.1,4.2,71.3,71.3,17,0.6,0.2,1.1,5.5,0,0.1,10.4,10.4,26696165,CBS,17081,NA,NA,NA,NA,NA,NA,NA
Justin Jefferson,WR,MIN,1,8,5.3,82.8,82.8,15.6,0.3,0.1,0.2,2,0,0,9.8,9.8,2871343,CBS,14836,NA,NA,NA,NA,NA,NA,NA
Courtland Sutton,WR,DEN,1,7.1,4.6,69.2,69.2,15,0.6,0,0,0,0,0.1,9.4,9.4,2218461,CBS,13630,NA,NA,NA,NA,NA,NA,NA
Rashee Rice,WR,KC,1,6.1,4.6,55.5,55.5,12.1,0.7,0.1,0.1,1,0,0,9.2,9.2,3124978,CBS,16194,NA,NA,NA,NA,NA,NA,NA
George Pickens,WR,DAL,1,6,3.8,63.6,63.6,16.7,0.5,0.1,0.3,3,0,0,9,9,3123212,CBS,15762,NA,NA,NA,NA,NA,NA,NA
DK Metcalf,WR,PIT,1,7.2,4.3,68.4,68.4,15.9,0.5,0,0,0,0,0,9,9,2260185,CBS,14102,NA,NA,NA,NA,NA,NA,NA
A.J. Brown,WR,PHI,1,7,4.3,61,61,14.2,0.5,0,0,0,0,0,9,9,2258303,CBS,14104,NA,NA,NA,NA,NA,NA,NA
DeVonta Smith,WR,PHI,1,5.9,4.6,61.1,61.1,13.3,0.5,0,0,0,0,0,9,9,2866975,CBS,15282,NA,NA,NA,NA,NA,NA,NA
Keenan Allen,WR,LAC,1,8.5,5.7,62.1,62.1,10.9,0.5,0,0.1,0,0,0,9,9,1737096,CBS,11222,NA,NA,NA,NA,NA,NA,NA
CeeDee Lamb,WR,DAL,1,7.9,5.4,74.6,74.6,13.8,0.3,0.6,3.5,5.8,0,0,8.8,8.8,2865251,CBS,14832,NA,NA,NA,NA,NA,NA,NA
Rome Odunze,WR,CHI,1,7.4,3.9,53.8,53.8,13.8,0.6,0.1,0.3,3,0,0,8.6,8.6,3162979,CBS,16616,NA,NA,NA,NA,NA,NA,NA
Jaylen Waddle,WR,MIA,1,7.3,5,61.3,61.3,12.3,0.4,0.1,0.5,5,0,0,8.4,8.4,2962110,CBS,15284,NA,NA,NA,NA,NA,NA,NA
Zay Flowers,WR,BAL,1,6.6,4.6,63.7,63.7,13.9,0.4,0.5,2.7,5.4,0,0.1,8.2,8.2,3127049,CBS,16190,NA,NA,NA,NA,NA,NA,NA
Quentin Johnston,WR,LAC,1,6.3,3.7,50.3,50.3,13.6,0.5,0.2,0.6,3,0,0.1,7.8,7.8,3162609,CBS,16188,NA,NA,NA,NA,NA,NA,NA
Chris Olave,WR,NO,1,8.9,5.6,64.3,64.3,11.5,0.3,0,0.1,0,0,0,7.8,7.8,2963666,CBS,15754,NA,NA,NA,NA,NA,NA,NA
Jordan Addison,WR,MIN,1,5.5,3.6,54.9,54.9,15.3,0.4,0.1,0.7,7,0,0,7.4,7.4,3162290,CBS,16186,NA,NA,NA,NA,NA,NA,NA
Xavier Worthy,WR,KC,1,5.2,3.3,43.6,43.6,13.2,0.3,1.7,14.1,8.3,0.1,0,7.4,7.4,26730787,CBS,16620,NA,NA,NA,NA,NA,NA,NA
Deebo Samuel,WR,WAS,1,6.6,4.7,42.1,42.1,9,0.3,2.4,10.8,4.5,0.1,0,7.4,7.4,2139735,CBS,14136,NA,NA,NA,NA,NA,NA,NA
Tee Higgins,WR,CIN,1,6.1,3.5,48.9,48.9,14,0.5,0,0,0,0,0,7,7,2809208,CBS,14835,NA,NA,NA,NA,NA,NA,NA
Alec Pierce,WR,IND,1,4.9,2.7,54.8,54.8,20.3,0.3,0,0,0,0,0,6.8,6.8,2965664,CBS,15768,NA,NA,NA,NA,NA,NA,NA
Ladd McConkey,WR,LAC,1,7.3,4.8,57.1,57.1,11.9,0.3,0,0,0,0,0,6.8,6.8,3163962,CBS,16627,NA,NA,NA,NA,NA,NA,NA
Rashid Shaheed,WR,NO,1,5.9,3.7,51.9,51.9,14,0.3,0.4,1.8,4.5,0,0,6.8,6.8,2250863,CBS,16080,NA,NA,NA,NA,NA,NA,NA
Tetairoa McMillan,WR,CAR,1,7.4,4.4,57.9,57.9,13.2,0.3,0.1,0.3,3,0,0.1,6.6,6.6,28877124,CBS,17071,NA,NA,NA,NA,NA,NA,NA
Romeo Doubs,WR,GB,1,5.2,3.4,48,48,14.1,0.4,0,0,0,0,0,6.4,6.4,2961886,CBS,15779,NA,NA,NA,NA,NA,NA,NA
Keon Coleman,WR,BUF,1,5.5,3.5,41.7,41.7,11.9,0.4,0,0.2,0,0,0.1,6.2,6.2,26717289,CBS,16617,NA,NA,NA,NA,NA,NA,NA
Wan'Dale Robinson,WR,NYG,1,7.2,4.9,51.2,51.2,10.5,0.2,0.2,1.7,8.5,0,0,6.2,6.2,3124107,CBS,15757,NA,NA,NA,NA,NA,NA,NA
Tez Johnson,WR,TB,1,4.6,2.6,40.7,40.7,15.7,0.3,0.2,1,5,0,0,5.8,5.8,3161539,CBS,17079,NA,NA,NA,NA,NA,NA,NA
Terry McLaurin,WR,WAS,1,5.7,3.6,45.4,45.4,12.6,0.3,0,0,0,0,0,5.8,5.8,2139279,CBS,14109,NA,NA,NA,NA,NA,NA,NA
