team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,pos,src_id,player,dst_fumbles,bye,opp,curr_site_pts,idp_solo,pct_owned,return_tds
LAC,0.9,0,4.4,34.9,0.8,1.1,0.2,14.6,14.6,0,98,241,241,17,17,CBS,0514,DST,1924,NA,NA,NA,NA,NA,NA,NA,NA
GB,1,0,3.1,40.7,0.9,1.2,0.2,17.3,17.3,0,103,247,247,16.1,16.1,CBS,0523,DST,1911,NA,NA,NA,NA,NA,NA,NA,NA
DET,1.4,0,4.5,39.7,0.9,1.2,0.3,20.8,20.8,0,112,309,309,14.9,14.9,CBS,0522,DST,1910,NA,NA,NA,NA,NA,NA,NA,NA
LAR,1,0,3.5,41.8,0.8,1.1,0.2,16.8,16.8,0,101,278,278,14.3,14.3,CBS,0528,DST,1923,NA,NA,NA,NA,NA,NA,NA,NA
DEN,0.6,0.1,4.8,39.6,0.6,0.9,0.1,18.4,18.4,0,93,266,266,14,14,CBS,0511,DST,1909,NA,NA,NA,NA,NA,NA,NA,NA
JAC,1.2,0,2,38.9,0.7,0.9,0.2,19.2,19.2,0,81,283,283,13,13,CBS,0509,DST,1913,NA,NA,NA,NA,NA,NA,NA,NA
SF,0.6,0,3,40.5,0.7,1,0.1,20.9,20.9,0,100,282,282,12.2,12.2,CBS,0530,DST,1925,NA,NA,NA,NA,NA,NA,NA,NA
CHI,1,0,2.9,36.5,0.8,1.2,0.2,22.6,22.6,0,90,294,294,11.7,11.7,CBS,0521,DST,1906,NA,NA,NA,NA,NA,NA,NA,NA
HOU,0.8,0,2,39.7,0.6,0.8,0.1,17.5,17.5,0,114,290,290,11.4,11.4,CBS,0532,DST,1932,NA,NA,NA,NA,NA,NA,NA,NA
BAL,1.1,0,2.1,41.1,0.5,0.7,0.2,25,25,0,99,299,299,10.5,10.5,CBS,0531,DST,1903,NA,NA,NA,NA,NA,NA,NA,NA
NE,0.6,0.1,1.9,43.5,0.6,0.8,0.2,18.8,18.8,0,115,336,336,9.7,9.7,CBS,0504,DST,1931,NA,NA,NA,NA,NA,NA,NA,NA
ATL,0.6,0,4,41.2,0.9,1.2,0.1,25.1,25.1,0,118,307,307,9.6,9.6,CBS,0526,DST,1902,NA,NA,NA,NA,NA,NA,NA,NA
SEA,0.8,0.1,3.4,42,0.6,0.8,0.2,21.3,21.3,0,124,306,306,9.6,9.6,CBS,0515,DST,1926,NA,NA,NA,NA,NA,NA,NA,NA
NYG,0.8,0,2.8,43.1,0.7,1,0.2,22.3,22.3,0,136,379,379,9,9,CBS,0517,DST,1918,NA,NA,NA,NA,NA,NA,NA,NA
WAS,0.7,0,2.7,40.5,0.8,1.1,0.2,24.4,24.4,0,113,358,358,8.9,8.9,CBS,0520,DST,1929,NA,NA,NA,NA,NA,NA,NA,NA
BUF,0.6,0,2.7,44.6,0.8,1.1,0.2,24.8,24.8,0,131,361,361,8.7,8.7,CBS,0501,DST,1904,NA,NA,NA,NA,NA,NA,NA,NA
LV,0.7,0,2.3,41.4,0.7,1,0.2,22.2,22.2,0,103,311,311,8.3,8.3,CBS,0513,DST,1920,NA,NA,NA,NA,NA,NA,NA,NA
PIT,0.6,0,1.8,41.3,0.8,1,0.2,26.5,26.5,0,134,371,371,7.8,7.8,CBS,0510,DST,1922,NA,NA,NA,NA,NA,NA,NA,NA
IND,0.6,0,2.6,41.9,0.5,0.6,0.1,25.7,25.7,0,114,320,320,7.4,7.4,CBS,0502,DST,1912,NA,NA,NA,NA,NA,NA,NA,NA
DAL,0.7,0,3.1,45.3,0.8,1,0.2,27.7,27.7,0,153,397,397,7.3,7.3,CBS,0516,DST,1908,NA,NA,NA,NA,NA,NA,NA,NA
KC,0.6,0,1.9,44.7,0.5,0.7,0.1,26.9,26.9,0,144,338,338,6.7,6.7,CBS,0512,DST,1914,NA,NA,NA,NA,NA,NA,NA,NA
NO,0.4,0,1.9,40.6,0.7,0.9,0.1,26.6,26.6,0,106,341,341,6.7,6.7,CBS,0529,DST,1917,NA,NA,NA,NA,NA,NA,NA,NA
TEN,0.6,0,3.2,43.8,0.7,0.9,0.1,27.6,27.6,0,121,367,367,6.4,6.4,CBS,0508,DST,1928,NA,NA,NA,NA,NA,NA,NA,NA
MIA,0.4,0,2.3,43,0.9,1.3,0.2,33.7,33.7,0,171,394,394,6.1,6.1,CBS,0503,DST,1915,NA,NA,NA,NA,NA,NA,NA,NA
MIN,0.5,0.1,2.5,44.6,0.6,0.9,0.1,30.2,30.2,0,127,355,355,5.5,5.5,CBS,0524,DST,1916,NA,NA,NA,NA,NA,NA,NA,NA
CIN,0.7,0,2.4,45.2,0.5,0.7,0.1,28.4,28.4,0,144,386,386,5.4,5.4,CBS,0506,DST,1907,NA,NA,NA,NA,NA,NA,NA,NA
ARI,0.6,0,1.4,43.4,0.6,0.8,0.2,29.1,29.1,0,107,336,336,5,5,CBS,0519,DST,1901,NA,NA,NA,NA,NA,NA,NA,NA
CAR,0.6,0,1.2,44.1,0.3,0.5,0.1,32.2,32.2,0,133,377,377,3.6,3.6,CBS,0527,DST,1905,NA,NA,NA,NA,NA,NA,NA,NA
PIT,1,NA,2,61,1,NA,0,389,NA,NA,NA,389,NA,NA,NA,ESPN,0510,DST,-16023,Steelers D/ST,1,NA,NA,NA,NA,NA,NA
DEN,1,NA,3,64,0,NA,0,325,NA,NA,NA,325,NA,NA,NA,ESPN,0511,DST,-16007,Broncos D/ST,1,NA,NA,NA,NA,NA,NA
HOU,1,NA,2,59,0,NA,0,319,NA,NA,NA,319,NA,NA,NA,ESPN,0532,DST,-16034,Texans D/ST,1,NA,NA,NA,NA,NA,NA
BAL,1,NA,2,60,0,NA,0,349,NA,NA,NA,349,NA,NA,NA,ESPN,0531,DST,-16033,Ravens D/ST,1,NA,NA,NA,NA,NA,NA
MIN,1,NA,2,64,1,NA,0,392,NA,NA,NA,392,NA,NA,NA,ESPN,0524,DST,-16016,Vikings D/ST,1,NA,NA,NA,NA,NA,NA
SEA,1,NA,3,62,0,NA,0,307,NA,NA,NA,307,NA,NA,NA,ESPN,0515,DST,-16026,Seahawks D/ST,1,NA,NA,NA,NA,NA,NA
DET,1,NA,3,59,1,NA,0,327,NA,NA,NA,327,NA,NA,NA,ESPN,0522,DST,-16008,Lions D/ST,1,NA,NA,NA,NA,NA,NA
NE,1,NA,2,62,0,NA,0,364,NA,NA,NA,364,NA,NA,NA,ESPN,0504,DST,-16017,Patriots D/ST,1,NA,NA,NA,NA,NA,NA
IND,1,NA,2,63,0,NA,0,344,NA,NA,NA,344,NA,NA,NA,ESPN,0502,DST,-16011,Colts D/ST,1,NA,NA,NA,NA,NA,NA
