player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,rush_att,rush_yds,rush_tds,bye,opp,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned
Tucker Kraft,TE,GB,1,5.4,4,61.3,61.3,15.3,0.9,0,11.4,11.4,3133332,CBS,16222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trey McBride,TE,ARI,1,8.9,6.5,72.5,72.5,11.2,0.5,0,10,10,2963385,CBS,15794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Warren,TE,IND,1,6,4.3,62.5,62.5,14.5,0.4,0.1,8.8,8.8,3168800,CBS,17102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
George Kittle,TE,SF,1,5.6,4.3,56,56,13,0.5,0,8,8,2818265,CBS,13299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Travis Kelce,TE,KC,1,6.2,4.7,52.1,52.1,11.1,0.3,0,6.8,6.8,1725130,CBS,11244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Theo Johnson,TE,NYG,1,6.2,3.9,35,35,9,0.6,0,6.6,6.6,3162129,CBS,16649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oronde Gadsden II,TE,LAC,1,5.9,4.4,57.3,57.3,13,0.3,0.1,6.6,6.6,26727374,CBS,17099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sam LaPorta,TE,DET,1,5.4,4.1,47.6,47.6,11.6,0.4,0,6.4,6.4,3124197,CBS,16214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brock Bowers,TE,LV,1,6.5,4.7,50.9,50.9,10.8,0.2,0,6.2,6.2,26693971,CBS,16641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Ferguson,TE,DAL,1,5.8,4.6,34.6,34.6,7.5,0.5,0,6,6,2867159,CBS,15799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hunter Henry,TE,NE,1,4.6,3.1,35.4,35.4,11.4,0.5,0,6,6,2079848,CBS,12676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mark Andrews,TE,BAL,1,3.9,3.1,33.4,33.4,10.8,0.5,0,6,6,2131121,CBS,13671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zach Ertz,TE,WAS,1,5.3,3.6,30.7,30.7,8.5,0.4,0,5.4,5.4,1685963,CBS,11247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Pitts,TE,ATL,1,5.7,4.2,43.5,43.5,10.4,0.2,0,5.2,5.2,2964514,CBS,15329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isaiah Likely,TE,BAL,1,3.1,2.4,28.5,28.5,11.9,0.5,0,5,5,2961906,CBS,15798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dalton Kincaid,TE,BUF,1,4.7,3.4,38.1,38.1,11.2,0.3,0,4.8,4.8,2982991,CBS,16213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
