player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,dst_int,dst_fum_rec,dst_sacks,dst_fumbles,dst_tackles,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,fumble_TD
Jaxon Smith-Njigba,WR,SEA,1,9.1,6.5,103,103,15.9,0.5,0.3,1.3,4.3,0,0.1,12.8,12.8,3162959,CBS,16185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rome Odunze,WR,CHI,1,8.3,4.6,71.2,71.2,15.5,0.8,0.1,0.3,3,0,0,11.8,11.8,3162979,CBS,16616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amon-Ra St. Brown,WR,DET,1,8.5,6.7,78.4,78.4,11.7,0.8,0.3,0.9,3,0,0,11.8,11.8,2967690,CBS,15287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puka Nacua,WR,LAR,1,9.2,7,89.9,89.9,12.8,0.5,0.6,6.1,10.2,0.1,0,11.6,11.6,3121687,CBS,16211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ja'Marr Chase,WR,CIN,1,10,7.1,83.1,83.1,11.7,0.6,0.2,0.8,4,0,0.1,11.4,11.4,2966320,CBS,15281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davante Adams,WR,LAR,1,8.6,4.7,66.3,66.3,14.1,0.7,0,0,0,0,0,10.2,10.2,1893167,CBS,11675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marvin Harrison Jr.,WR,ARI,1,6.8,3.9,70.9,70.9,18.2,0.5,0,0,0,0,0,10,10,26701883,CBS,16614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaylen Waddle,WR,MIA,1,7.9,5.5,75.3,75.3,13.7,0.5,0.1,0.5,5,0,0,10,10,2962110,CBS,15284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Jefferson,WR,MIN,1,8,5.3,82.8,82.8,15.6,0.3,0.1,0.2,2,0,0,9.8,9.8,2871343,CBS,14836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
George Pickens,WR,DAL,1,6.7,4.3,65.2,65.2,15.2,0.6,0.1,0.3,3,0,0,9.6,9.6,3123212,CBS,15762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keenan Allen,WR,LAC,1,9.4,6.3,68,68,10.8,0.6,0,0.1,0,0,0,9.6,9.6,1737096,CBS,11222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DK Metcalf,WR,PIT,1,6.8,4.1,68.5,68.5,16.7,0.6,0,0,0,0,0,9.6,9.6,2260185,CBS,14102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Pittman,WR,IND,1,7.3,5.3,60.5,60.5,11.4,0.6,0,0,0,0,0,9.6,9.6,2240188,CBS,14842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CeeDee Lamb,WR,DAL,1,8.8,6,75.2,75.2,12.5,0.4,0.6,3.3,5.5,0,0,9.4,9.4,2865251,CBS,14832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rashee Rice,WR,KC,1,7.2,5.8,59.2,59.2,10.2,0.7,0.4,1.9,4.8,0,0,9.2,9.2,3124978,CBS,16194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drake London,WR,ATL,1,9.1,5.6,70.6,70.6,12.6,0.4,0,0,0,0,0.1,9.2,9.2,3127902,CBS,15751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ricky Pearsall,WR,SF,1,7.3,5,79.5,79.5,15.9,0.3,0.3,1.1,3.7,0,0,8.8,8.8,3122949,CBS,16622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zay Flowers,WR,BAL,1,7.3,5.2,67.1,67.1,12.9,0.5,0.5,3.2,6.4,0,0.1,8.8,8.8,3127049,CBS,16190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ladd McConkey,WR,LAC,1,8.5,5.6,66.6,66.6,11.9,0.4,0,0,0,0,0,8.4,8.4,3163962,CBS,16627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quentin Johnston,WR,LAC,1,6.5,3.8,52.3,52.3,13.8,0.6,0.2,0.9,4.5,0,0.1,8.4,8.4,3162609,CBS,16188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nico Collins,WR,HOU,1,6.7,4.3,63.2,63.2,14.7,0.4,0.1,0.7,7,0,0.1,8.2,8.2,2878193,CBS,15290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DJ Moore,WR,CHI,1,6.7,4.7,60.9,60.9,13,0.4,1,4.5,4.5,0,0.1,8.2,8.2,2179328,CBS,13635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Addison,WR,MIN,1,5.3,3.5,53.1,53.1,15.2,0.5,0.1,0.5,5,0,0,8,8,3162290,CBS,16186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Romeo Doubs,WR,GB,1,5.4,3.5,49.2,49.2,14.1,0.6,0,0,0,0,0,7.6,7.6,2961886,CBS,15779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brian Thomas Jr.,WR,JAC,1,8,4.3,59.2,59.2,13.8,0.3,0.3,2.1,7,0.1,0,7.4,7.4,3132164,CBS,16618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tee Higgins,WR,CIN,1,5.9,3.4,49.2,49.2,14.5,0.5,0,0,0,0,0,7,7,2809208,CBS,14835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Courtland Sutton,WR,DEN,1,5.8,3.8,54.4,54.4,14.3,0.3,0,0,0,0,0,6.8,6.8,2218461,CBS,13630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wan'Dale Robinson,WR,NYG,1,7.5,5.1,52.7,52.7,10.3,0.3,0.2,1.3,6.5,0,0,6.8,6.8,3124107,CBS,15757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Olave,WR,NO,1,8.1,5.1,55.5,55.5,10.9,0.3,0.1,-0.1,-1,0,0,6.8,6.8,2963666,CBS,15754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terry McLaurin,WR,WAS,1,5.5,3.5,47.7,47.7,13.6,0.4,0,0,0,0,0,6.4,6.4,2139279,CBS,14109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tre Tucker,WR,LV,1,4.7,3.2,43.3,43.3,13.5,0.4,0.6,3.5,5.8,0,0,6.4,6.4,3121848,CBS,16287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jameson Williams,WR,DET,1,4.6,2.7,45.9,45.9,17,0.3,0.4,2.6,6.5,0.1,0,6.4,6.4,3125968,CBS,15756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deebo Samuel,WR,WAS,1,6.4,4.5,42,42,9.3,0.3,2.3,9.5,4.1,0.1,0,6.4,6.4,2139735,CBS,14136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kayshon Boutte,WR,NE,1,3.5,2.5,41.8,41.8,16.7,0.4,0,0,0,0,0,6.4,6.4,3163170,CBS,16193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alec Pierce,WR,IND,1,4.5,2.4,53.6,53.6,22.3,0.2,0,0,0,0,0,6.2,6.2,2965664,CBS,15768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jakobi Meyers,WR,LV,1,7.1,4.8,53.9,53.9,11.2,0.2,0.1,0.6,6,0,0,6.2,6.2,2183835,CBS,14127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tetairoa McMillan,WR,CAR,1,7.6,4.6,54.4,54.4,11.8,0.2,0,0.2,0,0,0,6.2,6.2,28877124,CBS,17071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kendrick Bourne,WR,SF,1,4.8,3.4,53.7,53.7,15.8,0.2,0,0.3,0,0,0,6.2,6.2,2088428,CBS,13418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xavier Worthy,WR,KC,1,5.6,3.6,39.9,39.9,11.1,0.2,1.5,13.8,9.2,0.1,0,5.8,5.8,26730787,CBS,16620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stefon Diggs,WR,NE,1,5.7,4.4,45.9,45.9,10.4,0.3,0.1,0.3,3,0,0,5.8,5.8,2000038,CBS,12186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christian Watson,WR,GB,1,4,2.4,47.9,47.9,20,0.3,0.3,1.1,3.7,0,0,5.8,5.8,2869806,CBS,15789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Khalil Shakir,WR,BUF,1,5.1,4,42.3,42.3,10.6,0.3,0.1,0.5,5,0,0,5.8,5.8,2969119,CBS,15761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matthew Golden,WR,GB,1,4.6,3.3,46.7,46.7,14.2,0.3,0.7,4.5,6.4,0,0.1,5.6,5.6,28874927,CBS,17075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calvin Ridley,WR,TEN,1,5.6,2.8,44.9,44.9,16,0.2,0.2,1.2,6,0,0,5.2,5.2,2186328,CBS,13629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jauan Jennings,WR,SF,1,5.7,3.3,40,40,12.1,0.2,0,0,0,0,0,5.2,5.2,2180514,CBS,14860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cooper Kupp,WR,SEA,1,5.4,3.7,46.6,46.6,12.6,0.2,0,0.1,0,0,0,5.2,5.2,2006951,CBS,13164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darius Slayton,WR,NYG,1,5,3,43.4,43.4,14.5,0.2,0,0.2,0,0,0.1,5,5,2183982,CBS,14122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rashid Shaheed,WR,NO,1,5.6,3.7,46.5,46.5,12.6,0.2,0.4,1.5,3.8,0,0.1,5,5,2250863,CBS,16080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Travis Hunter,WR,JAC,1,6.2,3.9,48.6,48.6,12.5,0.2,0.1,0.2,2,0,0.1,5,5,28909849,CBS,17074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rashod Bateman,WR,BAL,1,3.9,2.2,31.4,31.4,14.3,0.3,0,0.3,0,0,0,4.8,4.8,2960940,CBS,15293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malik Washington,WR,MIA,1,6.5,4.4,31.9,31.9,7.3,0.3,1,6.3,6.3,0,0,4.8,4.8,3124729,CBS,16684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Wilson,WR,ARI,1,4.3,2.6,34.1,34.1,13.1,0.3,0,0.1,0,0,0,4.8,4.8,2965181,CBS,16206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calvin Austin III,WR,PIT,1,4,2.4,31.3,31.3,13,0.3,0.2,1.1,5.5,0,0,4.8,4.8,2866214,CBS,15777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Troy Franklin,WR,DEN,1,5.4,3.2,36,36,11.3,0.3,0.2,1.1,5.5,0,0.1,4.6,4.6,26693436,CBS,16619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keon Coleman,WR,BUF,1,5.6,3.6,37.3,37.3,10.4,0.3,0,0.2,0,0,0.1,4.6,4.6,26717289,CBS,16617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tory Horton,WR,SEA,1,3.9,2.1,31.9,31.9,15.2,0.3,0.1,0.3,3,0,0.1,4.6,4.6,3165177,CBS,17098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darnell Mooney,WR,ATL,1,5.3,2.7,42.5,42.5,15.7,0.1,0,0.1,0,0,0,4.6,4.6,2240651,CBS,14974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jayden Reed,WR,GB,1,2.3,1.6,23.4,23.4,14.6,0.3,0.8,7.3,9.1,0.1,0,4.4,4.4,2967762,CBS,16184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christian Kirk,WR,HOU,1,4.9,3.1,42.6,42.6,13.7,0.1,0,0.1,0,0,0.1,4.4,4.4,2180820,CBS,13633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Downs,WR,IND,1,4.8,3.5,38.3,38.3,10.9,0.2,0,0.2,0,0,0,4.2,4.2,3162970,CBS,16187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luther Burden III,WR,CHI,1,3.3,2.5,34,34,13.6,0.2,0.2,0.9,4.5,0,0,4.2,4.2,28874444,CBS,17070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Palmer,WR,BUF,1,3.8,2.5,36.4,36.4,14.6,0.2,0,0.1,0,0,0,4.2,4.2,2867325,CBS,15319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roman Wilson,WR,PIT,1,4.1,2.7,36.3,36.3,13.4,0.2,0.1,0.5,5,0,0.1,4,4,3169495,CBS,16629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeAndre Hopkins,WR,BAL,1,2,1.2,20.6,20.6,17.2,0.3,0,0.2,0,0,0,3.8,3.8,1737078,CBS,11232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zay Jones,WR,ARI,1,3.9,2.5,36.6,36.6,14.6,0.1,0,0,0,0,0,3.6,3.6,2080270,CBS,13176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marquise Brown,WR,KC,1,4,2.4,24.1,24.1,10,0.2,0,0.4,0,0,0,3.2,3.2,2804128,CBS,14105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mack Hollins,WR,NE,1,2.8,2.1,23.5,23.5,11.2,0.2,0.1,0.3,3,0,0,3.2,3.2,2010349,CBS,13289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olamide Zaccheaus,WR,CHI,1,3.9,2.6,23.4,23.4,9,0.2,0.3,2.1,7,0,0,3.2,3.2,2186266,CBS,14592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Nailor,WR,MIN,1,3,1.6,22.8,22.8,14.3,0.2,0.2,1.4,7,0,0,3.2,3.2,2967232,CBS,15786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Demarcus Robinson,WR,SF,1,2.7,1.4,22.1,22.1,15.8,0.2,0,0.6,0,0,0,3.2,3.2,2061095,CBS,12785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xavier Legette,WR,CAR,1,4.7,2.7,20.5,20.5,7.6,0.2,0.2,0.4,2,0,0,3.2,3.2,3131575,CBS,16639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dontayvion Wicks,WR,GB,1,3.7,2.2,28.5,28.5,13,0.2,0,0,0,0,0,3.2,3.2,3122375,CBS,16195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jayden Higgins,WR,HOU,1,3.2,2,26.5,26.5,13.3,0.2,0.1,0.2,2,0,0,3.2,3.2,26708551,CBS,17083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Demario Douglas,WR,NE,1,3.9,2.5,27.6,27.6,11,0.2,0.4,1.5,3.8,0,0,3.2,3.2,3126241,CBS,16342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luke McCaffrey,WR,WAS,1,2.1,1.5,22.8,22.8,15.2,0.2,0,0,0,0,0,3.2,3.2,3121502,CBS,16635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elic Ayomanor,WR,TEN,1,4.6,2.4,29.7,29.7,12.4,0.2,0,0.2,0,0,0,3.2,3.2,28900714,CBS,17073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
